invoice_line_id,invoice_id,service_type_id,consignment_count,line_amount_aud,chargeable_weight_kg
117,52,7,1,205.56,62.85
118,53,2,1,379.75,275.95
119,54,1,1,135.26,8.34
120,54,2,1,150.45,156.48
121,54,4,1,134.87,144.1
122,55,4,1,108.39,98.01
123,56,6,1,134.48,176.3
124,57,3,1,574.9,1089.4
125,57,4,1,344.44,23.8
126,57,5,1,1495.26,276.76
127,57,6,1,256.8,26.05
128,58,2,1,791.96,16.0
129,58,4,2,405.74,40.52
130,59,1,2,355.88,78.01
131,59,5,1,1351.34,1302.45
132,59,6,1,300.73,124.05
133,60,1,1,1010.83,414.75
134,60,5,1,185.42,20.04
135,60,6,1,231.99,14.12
136,61,3,1,254.51,39.18
137,61,5,1,500.6,37.9
138,61,6,2,339.23,14.6
139,62,3,2,650.43,287.67
140,62,4,1,182.17,296.73
141,62,6,1,130.66,31.52
142,63,3,1,454.72,340.9
143,64,1,1,139.34,35.6
144,64,2,3,845.61,439.81
145,64,7,1,250.76,58.18
146,65,2,1,588.07,132.8
147,65,4,1,145.76,65.7
148,65,7,3,2123.5,683.76
149,66,2,1,273.53,275.32
150,66,3,1,125.07,55.8
151,66,4,1,204.65,425.22
152,66,6,1,144.74,253.62
153,67,1,2,1239.25,517.82
154,67,2,2,1664.76,1018.65
155,67,3,3,1019.96,654.16
156,68,2,1,190.76,42.32
157,68,3,1,114.94,25.14
158,68,4,1,155.53,210.64
159,69,2,1,278.46,393.25
160,69,3,3,1187.89,1499.88
161,69,4,3,581.97,511.17
162,70,3,1,463.86,15.52
163,70,4,2,111.59,128.86
164,70,6,1,128.65,89.2
165,70,7,1,417.72,335.22
166,71,1,1,273.13,163.54
167,71,3,2,595.99,1406.22
168,72,3,1,148.17,49.52
169,72,4,2,476.75,2452.48
170,73,2,1,552.41,390.26
171,73,3,1,140.13,17.12
172,73,4,1,115.54,54.48
173,74,2,1,789.07,10.98
174,74,3,1,164.84,128.75
175,74,5,1,1719.93,326.37
176,75,3,1,523.99,29.72
177,75,4,3,743.62,1042.22
178,75,6,1,129.61,42.4
179,76,1,1,209.81,95.75
180,76,2,1,1087.71,746.1
181,76,3,2,275.98,246.76
182,76,4,3,677.71,437.26
183,76,6,1,97.67,78.14
184,77,1,1,219.76,156.5
185,77,2,1,197.55,179.16
186,77,3,4,591.31,153.63
187,77,4,3,1210.73,381.13
188,78,3,1,259.2,14.56
189,79,2,1,560.84,219.42
190,79,3,1,105.09,11.55
191,79,4,1,195.85,218.88
192,79,7,1,111.72,54.18
193,80,3,3,828.91,929.22
194,80,4,1,86.36,4.28
195,81,4,1,185.51,296.76
196,82,1,1,287.64,331.85
197,82,2,1,167.18,121.52
198,82,3,1,158.53,317.88
199,83,3,1,174.37,29.76
200,83,4,2,609.58,821.65
201,83,5,1,717.14,61.32
202,83,6,1,202.36,87.2
203,84,3,1,115.09,36.65
204,84,4,1,138.7,57.6
205,84,5,1,210.58,15.52
206,85,3,2,622.22,624.84
207,85,4,1,73.25,30.36
208,86,1,2,297.11,56.53
209,86,6,2,290.41,407.74
210,87,3,1,146.37,187.68
211,87,4,1,114.61,47.3
212,87,5,1,1162.67,260.13
213,88,2,1,112.51,34.1
214,89,3,1,122.24,91.6
215,90,4,1,142.69,92.05
216,91,1,1,857.48,286.54
217,91,3,3,792.54,1464.8
218,91,6,1,108.84,76.32
219,91,7,1,643.95,228.57
220,92,3,1,385.85,1266.28
221,92,6,1,203.45,8.92
222,93,1,1,146.28,29.9
223,93,2,1,694.29,50.65
224,93,4,2,355.86,794.04
225,94,1,1,256.1,312.55
226,94,3,1,356.08,54.18
227,94,7,1,761.09,340.48
228,95,1,1,1018.97,1459.5
229,95,3,1,452.62,19.47
230,95,4,1,175.35,306.0
231,95,5,1,370.47,231.99
232,95,6,2,390.24,184.86
233,96,2,1,174.73,223.09
234,96,3,1,373.63,1041.88
235,96,4,1,213.29,560.22
236,97,3,1,281.23,747.26
237,97,6,1,226.59,213.0
238,98,2,1,559.04,77.27
239,98,3,1,130.81,36.19
240,98,4,1,229.62,597.05
241,99,2,1,345.74,30.8
242,99,6,1,220.92,949.55
243,100,1,1,317.88,145.81
244,100,2,1,279.47,169.68
245,101,2,1,131.69,14.17
246,102,3,1,111.5,119.84
247,103,1,1,131.56,8.11
248,103,2,1,421.83,320.58
249,103,3,1,95.08,18.28
250,104,1,1,905.17,309.6
251,104,4,1,263.12,6.5
252,105,2,1,591.34,362.02
253,105,3,1,146.7,135.0
254,105,4,2,562.85,855.8
255,106,3,2,265.8,333.78
256,106,6,2,317.4,482.45
257,107,4,2,211.57,177.35
258,107,7,1,206.3,78.2
259,108,4,1,98.28,7.41
260,109,3,1,117.43,4.95
261,110,5,1,959.89,982.22
262,110,7,1,594.53,84.15
263,111,5,1,598.99,73.3
264,112,2,1,793.34,258.5
265,112,3,2,276.55,202.56
266,113,4,1,389.82,210.8
267,113,7,1,1005.07,68.6
268,114,1,1,803.17,59.78
269,114,2,1,135.85,16.48
270,114,3,3,446.12,638.28
271,114,4,4,602.41,389.75
272,114,6,1,179.23,548.24
273,115,3,3,1087.89,529.41
274,115,4,2,370.44,751.05
275,115,5,2,950.66,661.72
276,115,6,2,369.5,178.54
277,115,7,1,195.99,93.12
278,116,1,2,261.38,67.46
279,116,2,1,762.63,41.6
280,116,3,3,490.68,649.61
281,116,4,4,943.05,1102.38
282,116,5,1,450.73,399.66
283,116,6,2,452.95,958.9
284,117,1,1,267.66,290.92
285,117,2,1,133.79,57.5
286,117,3,2,353.8,196.87
287,117,4,7,1355.2,1229.49
288,117,5,1,268.56,166.1
289,117,6,2,519.96,1753.75
290,117,7,1,1187.96,170.03
291,118,1,4,1294.37,738.9
292,118,2,2,805.79,53.08
293,118,3,7,1747.11,1114.28
294,118,4,1,92.62,15.3
295,118,5,1,279.03,95.97
296,119,1,1,1603.49,1603.42
297,119,2,4,1351.19,1505.96
298,119,3,6,1679.31,1737.01
299,119,4,4,1081.78,695.08
300,119,6,3,575.47,1901.18
301,119,7,2,559.95,355.72
302,120,2,1,184.9,81.55
303,120,3,5,757.79,842.06
304,120,4,1,115.75,10.6
305,120,6,3,544.08,649.16
306,121,3,8,2112.86,2337.28
307,121,4,5,925.59,409.75
308,121,5,2,1785.67,344.95
309,121,6,1,302.23,195.3
310,122,2,1,312.03,509.76
311,122,3,4,579.84,659.57
312,122,4,1,267.74,69.64
313,122,5,1,929.71,566.14
314,122,6,6,1160.09,2361.11
315,123,1,4,694.08,303.84
316,123,2,5,1251.5,641.4
317,123,3,3,878.99,780.01
318,123,4,4,1322.0,1435.97
319,123,6,3,384.6,138.67
320,124,1,3,1638.27,419.56
321,124,2,3,948.07,1093.44
322,124,3,6,1813.66,1647.24
323,124,4,5,1419.68,3264.99
324,124,5,4,1758.57,316.9
325,124,6,2,449.84,1762.46
326,124,7,2,996.41,302.3
327,125,1,1,830.8,224.15
328,125,2,2,653.39,945.08
329,125,3,4,805.59,805.81
330,125,4,3,575.82,985.12
331,125,5,1,785.12,154.83
332,125,6,1,88.55,40.76
333,125,7,1,442.97,16.82
334,126,1,1,331.93,362.45
335,126,2,1,271.29,397.48
336,126,3,4,1280.79,654.05
337,126,5,1,443.27,378.9
338,126,6,2,383.19,331.36
339,127,1,1,608.33,16.74
340,127,2,5,1554.27,1684.58
341,127,3,3,570.27,531.88
342,127,4,6,1480.64,1176.73
343,127,5,1,159.19,61.9
344,127,6,2,244.71,190.59
345,128,2,3,1088.32,507.03
346,128,3,3,545.67,1123.74
347,128,4,2,379.21,61.74
348,128,6,4,671.5,785.17
349,129,1,1,283.25,28.15
350,129,2,2,627.45,805.41
351,129,3,5,1614.49,898.18
352,129,6,1,121.41,92.85
353,129,7,1,1176.28,36.4
354,130,3,2,302.28,444.1
355,130,4,4,626.03,440.09
356,130,6,3,379.93,293.07
357,131,1,3,1825.01,2616.96
358,131,3,8,1508.74,1381.53
359,131,4,3,841.27,1607.97
360,131,6,2,234.22,49.0
361,132,1,1,842.81,33.5
362,132,2,1,137.65,4.12
363,132,3,8,1753.11,957.62
364,132,4,3,826.58,2170.55
365,132,5,1,128.0,14.54
366,132,6,3,411.47,168.1
367,133,2,4,759.08,617.14
368,133,3,5,1061.52,771.43
369,133,4,7,1549.53,2546.2
370,133,5,1,112.13,13.88
371,133,6,1,107.52,20.1
372,134,1,2,203.1,115.62
373,134,2,1,144.72,1.75
374,134,3,8,1996.49,2179.63
375,134,4,6,1510.43,2445.94
376,134,5,2,566.04,335.5
377,134,6,2,353.06,269.35
378,135,1,1,212.12,95.4
379,135,2,3,547.93,77.43
380,135,3,5,952.86,1005.47
381,135,4,3,617.9,1008.8
382,135,6,1,228.1,114.48
383,135,7,2,1700.21,124.32
384,136,1,2,501.88,486.22
385,136,3,3,682.04,422.35
386,136,4,3,895.34,735.12
387,136,5,2,1059.55,146.33
388,136,6,2,684.14,1973.45
389,136,7,1,1701.56,1083.1
390,137,1,2,762.27,225.52
391,137,2,6,1972.06,483.12
392,137,3,4,711.28,1111.43
393,137,4,4,1095.19,869.58
394,137,6,1,252.95,530.38
395,137,7,2,1521.77,853.4
396,138,1,1,346.3,489.04
397,138,2,2,382.15,41.95
398,138,3,2,739.8,378.38
399,138,5,2,1726.03,63.0
400,138,6,1,161.67,288.88
401,138,7,1,723.39,79.65
402,139,1,3,1035.89,368.7
403,139,2,3,402.23,274.43
404,139,3,4,742.48,918.23
405,139,4,2,502.55,72.44
406,139,6,1,124.43,139.15
407,139,7,1,1049.38,16.7
408,140,1,2,540.71,550.66
409,140,2,3,399.01,128.69
410,140,3,3,923.54,259.05
411,140,4,6,1065.13,1071.73
412,140,6,1,282.35,12.04
413,140,7,1,1523.67,1297.8
414,141,1,1,673.39,15.7
415,141,2,1,391.46,180.8
416,141,3,5,1114.61,1014.53
417,141,5,1,1144.07,308.65
418,141,6,1,265.32,321.24
419,142,1,2,526.69,30.92
420,142,2,2,1084.81,607.75
421,142,3,13,3356.95,4245.6
422,142,4,7,990.66,567.24
423,142,5,3,2090.87,193.98
424,142,6,2,349.97,188.49
425,143,1,2,429.17,269.64
426,143,2,4,1377.76,1271.63
427,143,3,4,822.32,579.3
428,143,4,3,379.49,159.27
429,143,6,3,656.69,432.83
430,144,1,1,1296.65,1108.07
431,144,2,3,1098.13,196.59
432,144,3,5,1022.23,980.22
433,144,4,8,1653.59,2854.18
434,144,5,1,1033.11,78.3
435,144,6,5,1004.35,1083.82
436,145,1,1,197.78,171.57
437,145,2,1,522.84,216.6
438,145,3,3,814.0,862.35
439,145,4,3,374.41,33.13
440,145,5,1,228.98,61.72
441,145,6,3,529.79,915.36
442,146,1,5,1169.54,333.31
443,146,2,2,304.43,179.57
444,146,3,2,273.05,138.54
445,146,4,6,1144.7,97.59
446,146,6,1,101.15,45.72
447,146,7,1,745.57,118.28
448,147,1,1,545.89,52.58
449,147,2,5,1673.46,1093.68
450,147,3,9,1535.58,1171.89
451,147,4,8,2146.19,2259.0
452,147,6,5,884.31,1734.01
453,147,7,1,1622.81,1178.7
454,148,1,3,926.69,954.95
455,148,2,6,3047.99,903.39
456,148,3,7,1377.22,771.21
457,148,4,5,871.78,877.12
458,148,5,1,1505.31,519.6
459,148,6,2,260.64,604.15
460,149,1,1,1168.07,454.1
461,149,2,6,2029.94,749.29
462,149,3,6,1639.74,929.27
463,149,4,4,862.12,701.07
464,149,5,1,443.76,356.64
465,149,7,2,416.69,201.5
466,150,1,1,428.01,168.6
467,150,2,1,235.63,287.5
468,150,3,4,790.81,1396.86
469,150,4,2,487.6,41.93
470,150,6,1,213.59,1.75
471,151,1,1,635.61,887.1
472,151,2,1,481.27,275.95
473,151,3,3,745.15,241.3
474,151,4,3,660.11,665.3
475,152,1,1,202.44,60.3
476,152,2,1,170.59,9.78
477,152,3,5,752.37,762.97
478,152,4,3,377.51,396.26
479,152,6,1,138.59,50.46
480,153,1,3,1410.21,1201.25
481,153,2,4,1148.1,205.36
482,153,3,3,843.81,166.9
483,153,4,3,626.15,1438.83
484,153,5,1,648.33,210.7
485,153,6,1,90.99,4.52
486,153,7,1,676.01,19.84
487,154,1,5,1497.23,479.78
488,154,2,2,858.42,334.12
489,154,3,4,876.19,816.01
490,154,4,5,919.16,430.91
491,154,5,1,571.02,499.05
492,154,6,1,168.82,128.64
493,155,1,5,1634.09,1046.18
494,155,2,2,468.64,431.74
495,155,3,3,685.08,370.74
496,155,4,3,452.82,222.12
497,155,5,2,1581.2,766.68
498,155,6,2,264.46,220.11
499,155,7,1,219.45,19.8
500,156,1,2,1152.68,360.38
501,156,2,1,259.62,135.15
502,156,4,1,88.3,17.8
503,156,6,1,199.31,541.52
504,157,1,1,185.51,150.65
505,157,3,2,226.53,116.57
506,157,4,2,783.2,602.56
507,157,6,1,257.41,5.66
508,158,2,1,578.67,30.06
509,158,3,1,122.6,10.02
510,158,4,1,157.85,201.72
511,159,3,1,123.54,4.52
512,159,4,1,344.91,176.9
513,159,7,1,198.39,62.08
514,160,2,1,128.84,47.6
515,160,3,1,116.84,25.02
516,160,4,1,128.58,5.93
517,160,6,1,194.4,17.68
518,161,1,1,819.87,1386.18
519,161,3,3,779.32,1379.14
520,161,4,1,83.54,5.08
521,161,6,3,644.83,543.38
522,162,1,1,269.32,186.6
523,162,2,1,703.06,254.1
524,162,3,2,518.78,67.21
525,162,4,1,172.99,71.12
526,163,1,1,238.33,146.84
527,163,2,4,1191.53,241.89
528,163,4,1,175.71,292.78
529,163,6,1,158.57,92.22
530,163,7,1,247.67,100.8
531,164,2,1,127.02,121.0
532,164,4,1,171.39,265.0
533,165,1,2,496.7,795.43
534,165,2,1,191.81,142.95
535,165,3,2,1125.81,1517.84
536,166,2,2,300.95,45.78
537,166,3,4,1294.31,748.19
538,166,4,3,263.83,215.99
539,166,5,3,2537.31,1427.97
540,166,6,2,279.56,551.42
541,167,1,1,973.9,286.95
542,167,2,1,216.8,217.35
543,167,3,7,1235.8,4841.53
544,167,4,2,419.46,186.11
545,167,6,2,427.19,153.45
546,168,1,1,632.18,1019.98
547,168,3,1,390.87,135.45
548,168,4,3,498.03,956.34
549,168,6,2,466.65,653.32
550,168,7,1,201.03,107.98
551,169,1,1,226.88,163.89
552,169,2,1,414.64,724.33
553,169,3,5,909.76,1436.15
554,169,4,1,109.41,46.88
555,169,5,1,226.14,47.72
556,169,6,1,245.02,291.3
557,169,7,1,428.83,167.32
558,170,1,2,1361.78,1776.54
559,170,2,2,751.95,470.53
560,170,3,3,576.99,501.22
561,170,4,4,784.85,1825.92
562,170,5,1,242.19,30.76
563,170,6,3,796.23,1814.68
564,170,7,1,549.56,39.44
565,171,1,1,156.46,32.46
566,171,3,5,795.71,796.95
567,171,5,1,234.15,99.45
568,172,2,1,951.53,667.11
569,172,3,6,1819.73,2095.57
570,172,4,1,126.07,15.23
571,172,5,1,444.73,333.8
572,172,6,3,543.92,824.69
573,173,3,2,366.4,148.32
574,173,4,1,100.39,4.32
575,173,5,2,1615.01,725.19
576,173,6,1,277.38,97.7
577,173,7,1,217.63,84.93
578,174,1,1,1229.66,741.83
579,174,3,1,130.48,26.0
580,174,4,1,188.5,35.97
581,174,5,2,1279.77,1129.87
582,174,6,2,184.56,554.68
583,175,3,2,599.02,337.91
584,175,4,2,626.67,665.1
585,175,6,2,617.2,884.32
586,176,3,1,521.11,130.62
587,176,4,2,670.05,1248.93
588,176,5,1,225.78,114.08
589,176,6,1,115.42,59.8
590,177,1,1,212.13,126.48
591,177,2,1,102.6,15.23
592,177,3,1,155.76,42.56
593,177,4,1,269.37,176.58
594,177,6,1,136.48,73.45
595,178,1,1,178.34,87.6
596,178,2,1,625.25,122.95
597,178,3,5,1236.44,1986.41
598,178,4,3,466.28,388.59
599,178,6,3,286.69,137.74
600,178,7,1,442.19,394.8
601,179,2,3,634.27,470.15
602,179,3,2,782.93,2185.11
603,179,4,1,134.32,180.1
604,179,6,1,81.8,7.79
605,180,3,1,279.0,14.95
606,180,6,1,267.02,1303.45
607,180,7,1,134.71,27.08
608,181,1,2,1011.76,1378.78
609,181,2,1,629.24,51.98
610,181,3,1,180.4,330.7
611,181,4,1,129.27,37.8
612,181,6,1,334.53,733.42
613,181,7,1,886.64,323.47
614,182,3,1,138.31,49.95
615,182,4,2,692.78,8.86
616,182,6,2,218.11,112.74
617,183,1,1,584.98,10.34
618,183,2,1,329.38,54.63
619,183,3,2,529.93,49.26
620,183,4,1,159.93,372.05
621,183,5,4,3292.0,632.26
622,183,6,1,126.78,36.25
623,184,2,2,353.59,169.15
624,184,4,3,555.51,899.78
625,185,1,2,649.1,706.49
626,185,4,3,675.42,1608.4
627,185,7,1,1045.34,49.65
628,186,1,2,952.51,419.78
629,186,2,1,393.03,80.75
630,186,3,4,1039.99,153.47
631,186,4,1,151.01,135.16
632,186,5,2,1035.79,121.14
633,187,2,2,483.52,540.13
634,187,3,2,437.17,304.7
635,187,4,2,404.2,156.51
636,187,6,2,490.23,1157.86
637,187,7,1,176.5,2.45
638,188,2,1,160.62,48.72
639,188,3,2,531.54,30.32
640,188,4,1,283.19,178.02
641,188,5,1,280.68,75.11
642,188,6,2,211.39,135.12
643,189,1,1,139.62,58.75
644,189,3,2,466.02,131.95
645,189,5,1,366.85,236.7
646,189,6,1,148.32,468.8
647,190,1,2,488.8,363.97
648,190,2,1,156.78,94.35
649,190,3,1,168.06,157.3
650,190,4,2,461.91,112.12
651,190,7,1,1011.61,504.6
652,191,3,3,997.03,665.3
653,191,4,1,356.17,1395.72
654,191,6,1,242.68,56.16
655,191,7,1,120.69,34.4
656,192,2,1,115.17,32.8
657,192,4,3,544.92,256.28
658,192,7,1,155.93,34.5
659,193,3,1,454.77,141.11
660,193,4,4,522.76,555.71
661,193,6,1,111.32,33.96
662,194,3,2,495.36,42.22
663,194,4,3,655.63,427.02
664,195,2,2,667.73,61.05
665,195,3,2,504.15,1046.13
666,195,4,1,183.22,154.32
667,195,6,2,336.44,124.89
668,195,7,1,153.12,11.9
669,196,1,3,1167.37,311.13
670,196,3,1,252.45,495.36
671,196,4,3,648.3,699.69
672,196,5,1,176.55,48.3
673,196,6,2,389.53,123.73
674,196,7,1,240.32,84.6
675,197,2,2,545.4,119.61
676,197,3,5,1269.32,387.18
677,197,4,4,805.86,1896.44
678,198,1,1,198.85,162.12
679,198,2,2,374.0,324.85
680,199,1,2,446.89,407.98
681,199,2,1,205.37,107.76
682,199,4,2,356.95,79.75
683,199,6,1,204.74,135.7
684,199,7,1,989.14,115.14
685,200,4,1,126.15,198.8
686,201,2,2,787.42,50.54
687,201,3,1,372.26,216.41
688,201,5,1,823.13,742.4
689,202,1,2,1824.92,329.28
690,202,3,1,324.12,48.45
691,202,4,3,636.18,1618.97
692,202,6,1,120.95,79.35
693,203,1,1,137.37,92.59
694,203,2,2,747.38,551.3
695,203,5,1,476.27,436.55
696,203,6,1,202.4,164.68
697,203,7,1,268.61,161.36
698,204,2,1,166.91,144.7
699,204,4,3,360.02,347.6
700,204,6,1,151.77,466.8
701,205,3,1,406.33,118.8
702,205,4,3,607.86,325.63
703,205,5,1,751.86,29.35
704,205,7,1,249.28,164.42
705,206,2,4,1224.13,589.79
706,206,3,1,107.23,50.64
707,206,4,1,262.74,413.58
708,207,3,1,111.07,17.38
709,207,4,1,361.08,1347.58
710,207,6,3,536.27,426.97
711,208,2,1,272.81,348.5
712,209,1,1,716.32,374.12
713,209,3,2,580.42,309.12
714,209,6,1,160.72,379.82
715,210,3,1,465.39,117.32
716,210,6,1,116.17,111.9
717,211,5,2,1469.31,116.54
718,211,6,1,159.44,86.75
719,212,2,1,156.26,81.9
720,212,3,2,528.47,369.45
721,213,2,2,964.9,194.64
722,213,3,1,147.94,137.78
723,213,4,2,431.67,433.12
724,213,6,1,272.58,269.2
725,214,4,1,269.96,140.98
726,214,7,1,250.82,233.42
727,215,1,1,181.76,160.96
728,215,2,1,135.2,11.95
729,215,3,1,75.23,25.52
730,215,4,1,107.93,26.08
731,215,6,1,238.85,33.98
732,215,7,1,208.98,82.05
733,216,2,2,1340.47,1389.67
734,217,1,1,366.52,65.55
735,217,3,2,440.51,513.86
736,217,4,1,97.58,77.95
737,217,6,2,330.08,127.98
738,218,1,1,931.31,209.66
739,218,2,1,134.06,23.25
740,218,3,1,147.73,66.15
741,218,4,1,285.01,33.89
742,218,7,1,718.81,184.8
743,219,4,1,547.35,954.75
744,220,2,1,329.03,253.22
745,220,6,1,96.86,84.75
746,220,7,1,1163.36,60.62
747,221,2,3,2164.33,2370.82
748,221,3,1,159.37,97.56
749,222,2,2,376.7,160.78
750,222,3,1,127.41,46.92
751,222,4,2,291.08,213.9
752,222,5,2,1375.45,189.25
753,223,3,2,569.84,538.26
754,223,4,1,611.36,1101.55
755,224,1,1,314.77,22.55
756,224,3,1,116.36,8.5
757,225,2,1,189.75,142.95
758,225,4,1,229.55,171.57
759,225,5,1,398.34,203.98
760,225,6,1,112.1,217.76
761,225,7,1,617.47,21.28
762,226,1,1,249.31,176.25
763,226,3,1,91.44,30.95
764,227,3,4,681.74,248.07
765,227,4,1,96.11,34.2
766,227,6,2,275.61,180.65
767,228,2,1,163.07,24.54
768,228,4,1,124.74,69.5
769,228,5,1,158.87,20.05
770,228,6,1,280.48,209.4
771,229,2,1,151.12,59.05
772,229,3,2,254.77,124.55
773,229,6,1,137.37,175.2
774,230,2,1,1094.35,1015.13
775,230,3,2,619.87,226.07
776,230,4,1,181.77,515.88
777,230,6,1,105.74,23.48
778,231,2,3,517.13,301.83
779,231,3,1,167.83,130.46
780,231,4,2,381.04,726.55
781,231,5,1,255.51,108.95
782,231,7,1,163.47,50.25
783,232,2,1,656.63,32.32
784,232,3,1,297.52,26.45
785,232,4,1,124.53,252.98
786,232,5,1,622.76,556.8
787,232,6,2,457.01,340.68
788,233,1,1,206.05,117.9
789,233,3,2,495.24,496.62
790,234,3,2,491.2,355.25
791,234,4,2,463.51,312.45
792,234,6,3,491.78,577.82
793,235,1,2,905.17,628.39
794,235,2,2,455.75,189.44
795,235,3,2,237.57,88.47
796,235,4,1,347.56,2.12
797,236,3,1,637.64,557.58
798,236,4,2,598.64,776.2
799,236,5,1,926.94,956.3
800,236,6,1,153.15,143.21
801,237,5,1,1734.97,317.02
802,237,6,1,214.39,114.58
803,238,1,1,354.51,561.8
804,239,4,1,96.49,80.6
805,239,6,1,258.99,19.62
806,240,1,1,166.72,136.2
807,240,3,3,573.06,571.79
808,240,4,1,263.65,25.52
809,241,3,1,508.88,1392.86
810,241,7,1,119.05,42.9
811,242,3,1,346.71,430.2
812,242,5,2,1094.74,1128.03
813,242,6,1,410.06,1231.48
814,242,7,1,156.88,80.64
815,243,2,1,616.0,213.7
816,243,3,2,753.21,27.49
817,243,4,1,122.47,162.75
818,243,6,2,463.67,194.65
819,244,3,3,645.0,1321.77
820,244,7,1,1297.87,1345.75
821,245,4,1,131.14,121.26
822,246,3,2,269.71,193.75
823,246,4,1,127.68,97.75
824,246,6,1,262.6,97.58
825,247,1,1,89.49,27.45
826,247,3,3,1247.31,1608.48
827,247,4,2,414.22,40.66
828,247,6,1,101.69,15.5
829,248,1,1,233.94,216.39
830,248,3,3,622.26,611.78
831,249,2,1,347.26,698.65
832,249,6,2,419.49,791.0
833,250,4,2,429.05,218.04
834,250,5,1,1545.22,700.55
835,251,1,1,811.94,77.3
836,251,2,2,288.94,97.15
837,251,3,1,97.92,41.88
838,251,4,1,273.2,5.62
839,251,5,1,316.01,295.72
840,251,6,1,133.66,482.69
841,252,3,3,453.05,180.76
842,253,1,1,135.2,31.14
843,253,6,1,115.58,22.0
844,254,1,1,0.0,480.02
845,254,3,1,102.87,61.3
846,254,4,1,349.49,1548.28
847,254,6,2,171.27,42.19
848,255,1,1,381.1,71.18
849,255,2,1,121.14,72.21
850,256,1,1,532.09,447.75
851,256,3,1,178.0,269.58
852,256,4,1,107.55,106.79
853,256,5,1,242.14,106.1
854,257,3,2,523.76,1475.34
855,257,6,1,287.61,217.9
