product_id,sku_code,product_name,product_category,uom,temperature_class,unit_weight_kg,unit_cubic_m,dangerous_goods_class,is_active
20,SKU-00020,BUILDING-B-1EA-7001,Building Materials,Pallets,Ambient,16.0,0.0586,None,1
21,SKU-00021,AMBIENT-PRM-12PK-5972,Ambient Grocery,Cartons,Ambient,4.78,0.016,None,1
22,SKU-00022,INDUSTRIAL-B-6PK-9231,Industrial Consumables,Pallets,Ambient,17.93,0.0692,None,1
23,SKU-00023,MINING-B-6PK-1053,Mining Consumables,Pallets,Ambient,11.95,0.044,None,1
24,SKU-00024,MINING-PRM-48PK-7575,Mining Consumables,Pallets,Ambient,13.04,0.0534,None,1
25,SKU-00025,BEVERAGES-PRM-12PK-3769,Beverages,Pallets,Ambient,12.05,0.0393,Class 9 Misc,1
26,SKU-00026,BEVERAGES-A-48PK-2239,Beverages,Pallets,Ambient,43.72,0.2367,None,1
27,SKU-00027,APPAREL-PRM-48PK-6906,Apparel,Cartons,Ambient,10.7,0.0372,None,1
28,SKU-00028,HOMEWARES-STD-24PK-1693,Homewares,Cartons,Ambient,2.83,0.013,None,1
29,SKU-00029,FROZEN-B-24PK-2588,Frozen Food,Cartons,Frozen,2.86,0.013,Class 3 Flammable,1
30,SKU-00030,AMBIENT-B-48PK-9147,Ambient Grocery,Cartons,Ambient,4.09,0.0139,Class 8 Corrosive,1
31,SKU-00031,FROZEN-PRM-24PK-6836,Frozen Food,Cartons,Frozen,17.39,0.0555,None,1
32,SKU-00032,CHILLED-PRM-24PK-4316,Chilled Food,Cartons,Chilled,19.14,0.06,Class 3 Flammable,1
33,SKU-00033,MINING-B-48PK-2005,Mining Consumables,Pallets,Ambient,26.54,0.1075,None,1
34,SKU-00034,BEVERAGES-PRM-6PK-8749,Beverages,Pallets,Ambient,11.82,0.0609,None,1
35,SKU-00035,ELECTRONICS-STD-6PK-1202,Electronics,Cartons,Ambient,16.5,0.0684,Class 9 Misc,1
36,SKU-00036,CHILLED-STD-6PK-5651,Chilled Food,Cartons,Chilled,2.19,0.0086,None,1
37,SKU-00037,MINING-B-12PK-3627,Mining Consumables,Pallets,Ambient,28.06,0.1288,None,1
38,SKU-00038,FROZEN-STD-6PK-2487,Frozen Food,Cartons,Frozen,8.92,0.0291,None,1
39,SKU-00039,BEVERAGES-A-24PK-4969,Beverages,Pallets,Ambient,1.82,0.0092,None,1
40,SKU-00040,ELECTRONICS-PRM-12PK-7449,Electronics,Cartons,Ambient,11.07,0.0377,None,1
41,SKU-00041,MINING-B-6PK-8619,Mining Consumables,Pallets,Ambient,0.63,0.002,None,1
42,SKU-00042,INDUSTRIAL-A-48PK-8526,Industrial Consumables,Pallets,Ambient,17.02,0.0822,None,1
43,SKU-00043,BEVERAGES-B-24PK-9134,Beverages,Pallets,Ambient,4.12,0.0133,None,1
44,SKU-00044,HOMEWARES-A-48PK-3058,Homewares,Cartons,Ambient,7.27,0.0274,None,1
45,SKU-00045,HOMEWARES-B-12PK-6982,Homewares,Cartons,Ambient,11.55,0.0572,Class 9 Misc,1
46,SKU-00046,BUILDING-STD-6PK-1945,Building Materials,Pallets,Ambient,8.25,0.0394,Class 9 Misc,1
47,SKU-00047,APPAREL-A-12PK-8837,Apparel,Cartons,Ambient,15.18,0.0602,None,1
48,SKU-00048,ELECTRONICS-B-48PK-2598,Electronics,Cartons,Ambient,21.35,0.0835,None,1
49,SKU-00049,AUTO-A-48PK-7990,Auto Parts,Pallets,Ambient,4.31,0.0181,None,1
50,SKU-00050,APPAREL-B-24PK-7830,Apparel,Cartons,Ambient,2.81,0.0141,None,1
51,SKU-00051,ELECTRONICS-B-1EA-4538,Electronics,Cartons,Ambient,17.28,0.0674,None,1
52,SKU-00052,ELECTRONICS-A-12PK-8833,Electronics,Cartons,Ambient,14.02,0.0524,None,1
53,SKU-00053,FROZEN-PRM-24PK-8081,Frozen Food,Cartons,Frozen,39.15,0.134,None,1
54,SKU-00054,PHARMACEUTICALS-B-1EA-2414,Pharmaceuticals,Cartons,Ambient,12.93,0.047,None,1
55,SKU-00055,FROZEN-STD-1EA-2834,Frozen Food,Cartons,Frozen,6.69,0.0346,None,1
56,SKU-00056,PHARMACEUTICALS-A-48PK-4509,Pharmaceuticals,Cartons,Chilled,7.14,0.0326,None,1
57,SKU-00057,MINING-A-12PK-3200,Mining Consumables,Pallets,Ambient,35.45,0.1808,None,1
58,SKU-00058,FROZEN-PRM-48PK-9742,Frozen Food,Cartons,Frozen,7.49,0.0407,None,1
59,SKU-00059,PHARMACEUTICALS-B-6PK-4611,Pharmaceuticals,Cartons,Ambient,24.02,0.0847,None,1
60,SKU-00060,BUILDING-STD-48PK-7186,Building Materials,Pallets,Ambient,5.17,0.0176,None,1
61,SKU-00061,AMBIENT-B-1EA-6512,Ambient Grocery,Cartons,Ambient,9.51,0.048,None,1
62,SKU-00062,FROZEN-A-12PK-1736,Frozen Food,Cartons,Frozen,11.51,0.0573,None,1
63,SKU-00063,FROZEN-B-12PK-7709,Frozen Food,Cartons,Frozen,5.42,0.0212,None,1
64,SKU-00064,HOMEWARES-STD-12PK-9256,Homewares,Cartons,Ambient,9.11,0.0458,None,1
65,SKU-00065,AMBIENT-B-1EA-7155,Ambient Grocery,Cartons,Ambient,16.94,0.0597,Class 8 Corrosive,1
66,SKU-00066,HOMEWARES-B-1EA-2148,Homewares,Cartons,Ambient,19.18,0.0759,None,1
67,SKU-00067,AUTO-STD-1EA-1979,Auto Parts,Pallets,Ambient,6.35,0.0275,None,1
68,SKU-00068,AMBIENT-A-24PK-5659,Ambient Grocery,Cartons,Ambient,6.29,0.0298,None,1
69,SKU-00069,INDUSTRIAL-PRM-1EA-5474,Industrial Consumables,Pallets,Ambient,7.49,0.0352,Class 3 Flammable,1
70,SKU-00070,BEVERAGES-STD-48PK-7123,Beverages,Pallets,Ambient,3.39,0.0131,None,1
71,SKU-00071,APPAREL-PRM-1EA-4886,Apparel,Cartons,Ambient,16.34,0.0569,None,1
72,SKU-00072,INDUSTRIAL-PRM-48PK-5992,Industrial Consumables,Pallets,Ambient,7.1,0.0291,None,1
73,SKU-00073,APPAREL-PRM-12PK-4570,Apparel,Cartons,Ambient,9.29,0.0483,None,1
74,SKU-00074,HOMEWARES-PRM-12PK-3484,Homewares,Cartons,Ambient,43.32,0.1355,None,1
75,SKU-00075,MINING-B-24PK-1955,Mining Consumables,Pallets,Ambient,14.01,0.075,None,1
76,SKU-00076,AMBIENT-B-12PK-5227,Ambient Grocery,Cartons,Ambient,18.12,0.0714,None,1
77,SKU-00077,PHARMACEUTICALS-A-12PK-1301,Pharmaceuticals,Cartons,Chilled,24.67,0.1288,None,1
78,SKU-00078,BEVERAGES-PRM-24PK-3646,Beverages,Pallets,Ambient,19.91,0.0633,Class 8 Corrosive,1
79,SKU-00079,INDUSTRIAL-A-48PK-7521,Industrial Consumables,Pallets,Ambient,11.28,0.0578,None,1
80,SKU-00080,MINING-STD-12PK-5847,Mining Consumables,Pallets,Ambient,21.02,0.0711,None,1
81,SKU-00081,APPAREL-B-24PK-6464,Apparel,Cartons,Ambient,4.96,0.0157,None,1
82,SKU-00082,FROZEN-PRM-24PK-9296,Frozen Food,Cartons,Frozen,6.12,0.0307,None,1
83,SKU-00083,AUTO-B-1EA-2240,Auto Parts,Pallets,Ambient,15.39,0.0671,None,1
84,SKU-00084,ELECTRONICS-PRM-48PK-4808,Electronics,Cartons,Ambient,19.59,0.0916,None,1
85,SKU-00085,ELECTRONICS-A-12PK-2216,Electronics,Cartons,Ambient,15.48,0.0625,None,1
86,SKU-00086,APPAREL-PRM-6PK-1776,Apparel,Cartons,Ambient,5.96,0.0223,None,1
87,SKU-00087,CHILLED-B-1EA-2390,Chilled Food,Cartons,Chilled,25.74,0.0859,None,1
88,SKU-00088,HOMEWARES-A-48PK-7561,Homewares,Cartons,Ambient,18.73,0.096,None,1
89,SKU-00089,CHILLED-A-1EA-5502,Chilled Food,Cartons,Chilled,9.54,0.0412,None,1
90,SKU-00090,APPAREL-PRM-12PK-8250,Apparel,Cartons,Ambient,8.78,0.0478,None,1
91,SKU-00091,HOMEWARES-A-6PK-8988,Homewares,Cartons,Ambient,6.08,0.0195,None,1
92,SKU-00092,BEVERAGES-A-6PK-3571,Beverages,Pallets,Ambient,16.43,0.0823,None,1
93,SKU-00093,HOMEWARES-B-48PK-6505,Homewares,Cartons,Ambient,42.95,0.1553,None,1
94,SKU-00094,AUTO-B-48PK-6732,Auto Parts,Pallets,Ambient,13.81,0.0546,None,1
95,SKU-00095,APPAREL-STD-12PK-4104,Apparel,Cartons,Ambient,6.5,0.0289,None,1
96,SKU-00096,PHARMACEUTICALS-A-1EA-6792,Pharmaceuticals,Cartons,Chilled,10.04,0.0461,Class 9 Misc,1
97,SKU-00097,HOMEWARES-A-24PK-7256,Homewares,Cartons,Ambient,8.14,0.0378,Class 8 Corrosive,1
98,SKU-00098,ELECTRONICS-STD-24PK-6618,Electronics,Cartons,Ambient,24.09,0.1181,None,1
99,SKU-00099,MINING-STD-1EA-2295,Mining Consumables,Pallets,Ambient,24.5,0.0943,None,1
100,SKU-00100,INDUSTRIAL-A-1EA-7598,Industrial Consumables,Pallets,Ambient,15.62,0.0803,None,1
101,SKU-00101,ELECTRONICS-PRM-24PK-3056,Electronics,Cartons,Ambient,10.71,0.0567,None,1
102,SKU-00102,AUTO-B-24PK-4048,Auto Parts,Pallets,Ambient,2.75,0.0134,None,1
103,SKU-00103,INDUSTRIAL-PRM-24PK-3972,Industrial Consumables,Pallets,Ambient,18.2,0.0708,None,1
104,SKU-00104,AUTO-STD-12PK-6393,Auto Parts,Pallets,Ambient,7.85,0.0358,None,1
105,SKU-00105,ELECTRONICS-A-12PK-7091,Electronics,Cartons,Ambient,18.81,0.0916,None,1
106,SKU-00106,FROZEN-STD-12PK-1173,Frozen Food,Cartons,Frozen,17.19,0.0564,Class 8 Corrosive,1
107,SKU-00107,FROZEN-A-24PK-2691,Frozen Food,Cartons,Frozen,7.02,0.037,None,1
108,SKU-00108,AUTO-STD-24PK-8910,Auto Parts,Pallets,Ambient,16.11,0.0668,None,1
109,SKU-00109,AUTO-STD-12PK-5518,Auto Parts,Pallets,Ambient,6.82,0.0235,None,1
110,SKU-00110,CHILLED-STD-24PK-7413,Chilled Food,Cartons,Chilled,22.55,0.0799,None,1
111,SKU-00111,INDUSTRIAL-PRM-12PK-3820,Industrial Consumables,Pallets,Ambient,10.91,0.0575,None,1
112,SKU-00112,BUILDING-PRM-6PK-7582,Building Materials,Pallets,Ambient,8.3,0.0328,Class 9 Misc,1
113,SKU-00113,MINING-STD-1EA-1527,Mining Consumables,Pallets,Ambient,25.34,0.1285,Class 3 Flammable,1
114,SKU-00114,AUTO-STD-1EA-3142,Auto Parts,Pallets,Ambient,9.03,0.0409,None,1
115,SKU-00115,AUTO-STD-48PK-7240,Auto Parts,Pallets,Ambient,7.45,0.0237,None,1
116,SKU-00116,AUTO-B-6PK-5279,Auto Parts,Pallets,Ambient,7.52,0.0379,None,1
117,SKU-00117,BUILDING-PRM-1EA-2663,Building Materials,Pallets,Ambient,9.86,0.0388,None,1
118,SKU-00118,HOMEWARES-A-6PK-7450,Homewares,Cartons,Ambient,11.2,0.037,None,1
119,SKU-00119,FROZEN-PRM-48PK-6786,Frozen Food,Cartons,Frozen,40.2,0.1735,None,1
120,SKU-00120,HOMEWARES-B-6PK-6422,Homewares,Cartons,Ambient,29.78,0.1134,None,1
121,SKU-00121,FROZEN-A-6PK-1460,Frozen Food,Cartons,Frozen,8.6,0.0305,None,1
122,SKU-00122,APPAREL-STD-12PK-7352,Apparel,Cartons,Ambient,3.17,0.0126,None,1
123,SKU-00123,PHARMACEUTICALS-A-24PK-7187,Pharmaceuticals,Cartons,Ambient,16.73,0.0908,None,1
124,SKU-00124,ELECTRONICS-B-24PK-9891,Electronics,Cartons,Ambient,10.21,0.0427,None,1
125,SKU-00125,ELECTRONICS-STD-6PK-5497,Electronics,Cartons,Ambient,17.54,0.0835,None,1
126,SKU-00126,ELECTRONICS-B-12PK-7577,Electronics,Cartons,Ambient,17.04,0.0695,Class 3 Flammable,1
127,SKU-00127,AUTO-B-48PK-6880,Auto Parts,Pallets,Ambient,2.78,0.0141,None,1
128,SKU-00128,PHARMACEUTICALS-PRM-48PK-3361,Pharmaceuticals,Cartons,Ambient,22.34,0.0722,None,1
129,SKU-00129,AMBIENT-A-24PK-6874,Ambient Grocery,Cartons,Ambient,5.03,0.0195,None,1
130,SKU-00130,HOMEWARES-PRM-48PK-7077,Homewares,Cartons,Ambient,4.46,0.0161,None,1
131,SKU-00131,AUTO-B-12PK-3439,Auto Parts,Pallets,Ambient,12.97,0.0474,None,1
132,SKU-00132,MINING-STD-6PK-7698,Mining Consumables,Pallets,Ambient,15.57,0.055,Class 3 Flammable,1
133,SKU-00133,MINING-PRM-6PK-4407,Mining Consumables,Pallets,Ambient,3.47,0.0135,None,1
134,SKU-00134,BUILDING-A-1EA-4254,Building Materials,Pallets,Ambient,3.18,0.012,None,1
135,SKU-00135,PHARMACEUTICALS-B-6PK-1170,Pharmaceuticals,Cartons,Ambient,6.42,0.0233,None,1
136,SKU-00136,FROZEN-A-1EA-3780,Frozen Food,Cartons,Frozen,10.62,0.0443,None,1
137,SKU-00137,BEVERAGES-STD-1EA-5102,Beverages,Pallets,Ambient,9.68,0.0433,None,1
138,SKU-00138,AUTO-B-12PK-4627,Auto Parts,Pallets,Ambient,5.85,0.0204,None,1
139,SKU-00139,APPAREL-B-6PK-9548,Apparel,Cartons,Ambient,14.61,0.0507,Class 8 Corrosive,1
140,SKU-00140,INDUSTRIAL-STD-48PK-9554,Industrial Consumables,Pallets,Ambient,8.65,0.0417,Class 3 Flammable,1
141,SKU-00141,INDUSTRIAL-B-6PK-9908,Industrial Consumables,Pallets,Ambient,8.52,0.0448,None,1
142,SKU-00142,ELECTRONICS-A-6PK-7640,Electronics,Cartons,Ambient,11.75,0.0491,Class 9 Misc,1
143,SKU-00143,APPAREL-B-1EA-7344,Apparel,Cartons,Ambient,7.37,0.0254,Class 3 Flammable,1
144,SKU-00144,FROZEN-A-12PK-9773,Frozen Food,Cartons,Frozen,8.84,0.0402,None,1
145,SKU-00145,HOMEWARES-PRM-1EA-8955,Homewares,Cartons,Ambient,13.1,0.0667,None,1
146,SKU-00146,CHILLED-A-1EA-5102,Chilled Food,Cartons,Chilled,2.7,0.0132,Class 8 Corrosive,1
147,SKU-00147,BEVERAGES-B-6PK-8316,Beverages,Pallets,Ambient,25.74,0.0895,None,1
148,SKU-00148,BUILDING-STD-48PK-5903,Building Materials,Pallets,Ambient,21.76,0.1027,Class 9 Misc,1
149,SKU-00149,AUTO-PRM-1EA-9830,Auto Parts,Pallets,Ambient,8.94,0.035,None,1
150,SKU-00150,APPAREL-A-12PK-8287,Apparel,Cartons,Ambient,19.67,0.0617,None,1
151,SKU-00151,BEVERAGES-B-12PK-6999,Beverages,Pallets,Ambient,9.69,0.0329,None,1
152,SKU-00152,BUILDING-PRM-1EA-5336,Building Materials,Pallets,Ambient,18.17,0.0721,None,1
153,SKU-00153,FROZEN-A-12PK-7233,Frozen Food,Cartons,Frozen,13.88,0.0476,None,1
154,SKU-00154,MINING-PRM-1EA-1384,Mining Consumables,Pallets,Ambient,12.59,0.0587,None,1
155,SKU-00155,INDUSTRIAL-PRM-12PK-1549,Industrial Consumables,Pallets,Ambient,20.29,0.0681,None,1
156,SKU-00156,AUTO-STD-6PK-7586,Auto Parts,Pallets,Ambient,7.68,0.0371,None,1
157,SKU-00157,ELECTRONICS-A-12PK-2933,Electronics,Cartons,Ambient,7.85,0.0294,None,1
158,SKU-00158,ELECTRONICS-A-12PK-8646,Electronics,Cartons,Ambient,4.18,0.0173,None,1
159,SKU-00159,HOMEWARES-STD-12PK-2211,Homewares,Cartons,Ambient,8.78,0.029,None,1
160,SKU-00160,INDUSTRIAL-STD-6PK-1905,Industrial Consumables,Pallets,Ambient,28.31,0.1029,None,1
161,SKU-00161,AMBIENT-PRM-48PK-2932,Ambient Grocery,Cartons,Ambient,4.46,0.0146,None,1
162,SKU-00162,FROZEN-A-1EA-1794,Frozen Food,Cartons,Frozen,9.37,0.0307,None,1
163,SKU-00163,AUTO-PRM-6PK-3674,Auto Parts,Pallets,Ambient,23.46,0.1161,None,1
164,SKU-00164,MINING-PRM-1EA-5524,Mining Consumables,Pallets,Ambient,1.82,0.0094,None,1
165,SKU-00165,AMBIENT-B-24PK-5968,Ambient Grocery,Cartons,Ambient,20.64,0.0676,None,1
166,SKU-00166,CHILLED-STD-6PK-7960,Chilled Food,Cartons,Chilled,21.08,0.0737,None,1
167,SKU-00167,PHARMACEUTICALS-A-12PK-1203,Pharmaceuticals,Cartons,Chilled,1.51,0.0059,None,1
168,SKU-00168,FROZEN-B-48PK-9953,Frozen Food,Cartons,Frozen,25.09,0.0868,None,1
169,SKU-00169,BEVERAGES-A-1EA-5736,Beverages,Pallets,Ambient,15.08,0.0609,None,1
170,SKU-00170,BUILDING-B-12PK-6308,Building Materials,Pallets,Ambient,17.06,0.0619,None,1
171,SKU-00171,ELECTRONICS-A-12PK-3493,Electronics,Cartons,Ambient,6.61,0.0208,None,1
172,SKU-00172,HOMEWARES-STD-12PK-7185,Homewares,Cartons,Ambient,1.71,0.0054,None,1
173,SKU-00173,FROZEN-STD-1EA-5857,Frozen Food,Cartons,Frozen,10.36,0.0529,None,1
174,SKU-00174,PHARMACEUTICALS-A-12PK-3039,Pharmaceuticals,Cartons,Chilled,11.63,0.0468,None,1
175,SKU-00175,MINING-STD-48PK-3960,Mining Consumables,Pallets,Ambient,12.34,0.0433,None,1
176,SKU-00176,HOMEWARES-A-12PK-9129,Homewares,Cartons,Ambient,29.99,0.1586,None,1
177,SKU-00177,AMBIENT-A-1EA-3878,Ambient Grocery,Cartons,Ambient,17.97,0.0829,None,1
178,SKU-00178,BEVERAGES-STD-24PK-7169,Beverages,Pallets,Ambient,35.99,0.1249,None,1
179,SKU-00179,FROZEN-B-6PK-4481,Frozen Food,Cartons,Frozen,10.02,0.0352,None,1
180,SKU-00180,INDUSTRIAL-A-6PK-2201,Industrial Consumables,Pallets,Ambient,4.94,0.0191,None,1
181,SKU-00181,AMBIENT-PRM-24PK-6068,Ambient Grocery,Cartons,Ambient,6.93,0.0323,None,1
182,SKU-00182,APPAREL-A-1EA-8186,Apparel,Cartons,Ambient,4.57,0.0148,None,1
183,SKU-00183,INDUSTRIAL-STD-1EA-4311,Industrial Consumables,Pallets,Ambient,5.45,0.021,None,1
184,SKU-00184,PHARMACEUTICALS-A-12PK-9789,Pharmaceuticals,Cartons,Ambient,7.63,0.0312,Class 3 Flammable,1
185,SKU-00185,HOMEWARES-B-1EA-2672,Homewares,Cartons,Ambient,12.78,0.0456,None,1
186,SKU-00186,FROZEN-B-1EA-4491,Frozen Food,Cartons,Frozen,17.97,0.0629,None,1
187,SKU-00187,BUILDING-A-1EA-1327,Building Materials,Pallets,Ambient,12.94,0.0461,None,1
188,SKU-00188,AMBIENT-PRM-24PK-6512,Ambient Grocery,Cartons,Ambient,8.34,0.0311,None,1
189,SKU-00189,MINING-STD-48PK-6610,Mining Consumables,Pallets,Ambient,12.6,0.0573,None,1
190,SKU-00190,ELECTRONICS-A-48PK-2384,Electronics,Cartons,Ambient,10.34,0.0538,Class 8 Corrosive,1
191,SKU-00191,AUTO-A-48PK-5521,Auto Parts,Pallets,Ambient,3.64,0.0162,None,1
192,SKU-00192,HOMEWARES-PRM-1EA-3965,Homewares,Cartons,Ambient,15.23,0.082,Class 3 Flammable,1
193,SKU-00193,AMBIENT-A-6PK-4367,Ambient Grocery,Cartons,Ambient,9.55,0.0507,None,1
194,SKU-00194,BUILDING-A-12PK-6879,Building Materials,Pallets,Ambient,28.63,0.1022,None,1
195,SKU-00195,BEVERAGES-A-48PK-2888,Beverages,Pallets,Ambient,12.87,0.0427,None,1
196,SKU-00196,FROZEN-A-48PK-9433,Frozen Food,Cartons,Frozen,23.47,0.1035,None,1
197,SKU-00197,HOMEWARES-STD-48PK-1864,Homewares,Cartons,Ambient,36.19,0.1275,None,1
198,SKU-00198,PHARMACEUTICALS-STD-24PK-3787,Pharmaceuticals,Cartons,Ambient,3.04,0.0111,None,1
199,SKU-00199,BEVERAGES-B-24PK-1835,Beverages,Pallets,Ambient,7.41,0.0279,None,1
200,SKU-00200,AUTO-STD-6PK-9220,Auto Parts,Pallets,Ambient,2.45,0.009,None,1
201,SKU-00201,BEVERAGES-STD-12PK-9798,Beverages,Pallets,Ambient,18.76,0.0708,None,1
202,SKU-00202,ELECTRONICS-STD-12PK-4125,Electronics,Cartons,Ambient,36.67,0.1544,None,1
203,SKU-00203,AUTO-PRM-24PK-9675,Auto Parts,Pallets,Ambient,3.99,0.0157,None,1
204,SKU-00204,APPAREL-STD-1EA-5717,Apparel,Cartons,Ambient,6.42,0.0259,None,1
205,SKU-00205,MINING-B-24PK-3827,Mining Consumables,Pallets,Ambient,3.85,0.0157,None,1
206,SKU-00206,AMBIENT-A-12PK-1946,Ambient Grocery,Cartons,Ambient,17.52,0.0766,None,1
207,SKU-00207,MINING-STD-1EA-1455,Mining Consumables,Pallets,Ambient,38.74,0.1451,Class 9 Misc,1
208,SKU-00208,AUTO-PRM-1EA-2840,Auto Parts,Pallets,Ambient,21.53,0.0792,None,1
209,SKU-00209,HOMEWARES-B-24PK-4678,Homewares,Cartons,Ambient,12.14,0.0524,None,1
210,SKU-00210,APPAREL-PRM-48PK-7074,Apparel,Cartons,Ambient,14.97,0.0781,None,1
211,SKU-00211,AUTO-B-24PK-1047,Auto Parts,Pallets,Ambient,15.48,0.0672,None,1
212,SKU-00212,FROZEN-A-48PK-4724,Frozen Food,Cartons,Frozen,14.18,0.0658,Class 9 Misc,1
213,SKU-00213,AUTO-STD-1EA-1565,Auto Parts,Pallets,Ambient,11.84,0.0375,None,1
214,SKU-00214,AMBIENT-STD-6PK-1308,Ambient Grocery,Cartons,Ambient,21.1,0.0875,None,1
215,SKU-00215,BEVERAGES-B-24PK-7467,Beverages,Pallets,Ambient,23.15,0.0864,None,1
216,SKU-00216,PHARMACEUTICALS-STD-48PK-3651,Pharmaceuticals,Cartons,Ambient,19.81,0.1001,None,1
217,SKU-00217,ELECTRONICS-STD-6PK-2296,Electronics,Cartons,Ambient,11.81,0.0384,None,1
218,SKU-00218,MINING-PRM-24PK-9956,Mining Consumables,Pallets,Ambient,12.95,0.0534,None,1
219,SKU-00219,BUILDING-STD-48PK-2710,Building Materials,Pallets,Ambient,10.19,0.0438,None,1
220,SKU-00220,BUILDING-A-12PK-1928,Building Materials,Pallets,Ambient,12.86,0.0438,None,1
221,SKU-00221,INDUSTRIAL-STD-6PK-5417,Industrial Consumables,Pallets,Ambient,17.63,0.0591,None,1
222,SKU-00222,CHILLED-STD-12PK-3017,Chilled Food,Cartons,Chilled,28.94,0.1522,None,1
223,SKU-00223,MINING-B-6PK-4771,Mining Consumables,Pallets,Ambient,15.35,0.0593,None,1
224,SKU-00224,APPAREL-B-6PK-3177,Apparel,Cartons,Ambient,13.23,0.0481,None,1
225,SKU-00225,MINING-PRM-24PK-9963,Mining Consumables,Pallets,Ambient,18.1,0.0778,None,1
226,SKU-00226,FROZEN-STD-12PK-4628,Frozen Food,Cartons,Frozen,8.57,0.0366,None,1
227,SKU-00227,FROZEN-A-24PK-7060,Frozen Food,Cartons,Frozen,5.48,0.0285,None,1
228,SKU-00228,CHILLED-PRM-12PK-7307,Chilled Food,Cartons,Chilled,10.4,0.0397,None,1
229,SKU-00229,ELECTRONICS-B-48PK-3547,Electronics,Cartons,Ambient,3.21,0.0158,None,1
230,SKU-00230,HOMEWARES-A-48PK-9687,Homewares,Cartons,Ambient,10.49,0.0362,None,1
231,SKU-00231,APPAREL-B-1EA-4685,Apparel,Cartons,Ambient,19.01,0.0821,None,1
232,SKU-00232,AMBIENT-A-24PK-1946,Ambient Grocery,Cartons,Ambient,12.64,0.0434,Class 8 Corrosive,1
233,SKU-00233,PHARMACEUTICALS-B-12PK-1181,Pharmaceuticals,Cartons,Ambient,11.16,0.0459,None,1
234,SKU-00234,BEVERAGES-PRM-48PK-2873,Beverages,Pallets,Ambient,4.28,0.0163,None,1
235,SKU-00235,MINING-PRM-24PK-5466,Mining Consumables,Pallets,Ambient,19.36,0.0937,None,1
236,SKU-00236,ELECTRONICS-A-48PK-8470,Electronics,Cartons,Ambient,4.49,0.0198,None,1
237,SKU-00237,PHARMACEUTICALS-PRM-1EA-8455,Pharmaceuticals,Cartons,Chilled,3.9,0.0143,None,1
238,SKU-00238,AUTO-B-1EA-5751,Auto Parts,Pallets,Ambient,31.62,0.1066,None,1
239,SKU-00239,BUILDING-STD-24PK-1944,Building Materials,Pallets,Ambient,17.26,0.0695,Class 3 Flammable,1
240,SKU-00240,AUTO-PRM-24PK-5052,Auto Parts,Pallets,Ambient,19.54,0.1042,Class 8 Corrosive,1
241,SKU-00241,APPAREL-PRM-24PK-2530,Apparel,Cartons,Ambient,7.76,0.0307,None,1
242,SKU-00242,AMBIENT-A-12PK-1648,Ambient Grocery,Cartons,Ambient,13.3,0.0621,None,1
243,SKU-00243,BEVERAGES-STD-48PK-6365,Beverages,Pallets,Ambient,2.84,0.0122,None,1
244,SKU-00244,MINING-A-12PK-4336,Mining Consumables,Pallets,Ambient,12.3,0.0565,None,1
