trip_driver_id,trip_id,driver_id,driver_role,hours_driven
106,72,46,Primary,4.88
107,73,56,Primary,22.26
108,74,139,Primary,11.18
109,74,337,Second Driver,11.26
110,75,122,Primary,1.32
111,76,359,Primary,29.58
112,77,166,Primary,8.51
113,77,376,Second Driver,8.64
114,78,212,Primary,18.8
115,78,103,Second Driver,21.06
116,79,10,Primary,39.44
117,80,286,Primary,12.14
118,80,205,Second Driver,11.53
119,81,272,Primary,8.99
120,82,97,Primary,8.09
121,83,144,Primary,10.13
122,83,110,Second Driver,9.1
123,84,372,Primary,33.55
124,85,141,Primary,5.63
125,85,391,Second Driver,5.77
126,86,50,Primary,11.26
127,86,374,Second Driver,11.36
128,87,174,Primary,14.91
129,88,14,Primary,38.56
130,89,350,Primary,17.09
131,89,139,Second Driver,17.43
132,90,57,Primary,25.39
133,90,399,Second Driver,24.9
134,91,284,Primary,19.87
135,91,269,Second Driver,19.01
136,92,300,Primary,6.86
137,93,244,Primary,18.26
138,94,314,Primary,12.48
139,94,69,Second Driver,13.56
140,95,62,Primary,9.45
141,96,165,Primary,16.32
142,97,193,Primary,10.74
143,97,152,Second Driver,10.22
144,98,57,Primary,37.36
145,99,144,Primary,7.03
146,99,247,Second Driver,6.47
147,100,305,Primary,6.22
148,100,359,Second Driver,6.89
149,101,179,Primary,28.28
150,102,221,Primary,39.0
151,103,226,Primary,18.21
152,103,3,Second Driver,18.88
153,104,269,Primary,11.36
154,105,118,Primary,18.89
155,106,340,Primary,5.76
156,107,74,Primary,5.87
157,107,154,Second Driver,6.08
158,108,396,Primary,20.68
159,108,209,Second Driver,23.73
160,109,162,Primary,16.15
161,109,66,Second Driver,16.7
162,110,325,Primary,16.99
163,110,107,Second Driver,16.34
164,111,403,Primary,10.7
165,111,382,Second Driver,11.59
166,112,108,Primary,9.26
167,113,173,Primary,4.22
168,113,211,Second Driver,4.66
169,114,39,Primary,17.88
170,114,290,Second Driver,20.43
171,115,403,Primary,10.19
172,116,97,Primary,8.54
173,116,319,Second Driver,8.7
174,117,139,Primary,1.21
175,118,6,Primary,6.32
176,118,417,Second Driver,6.46
177,119,304,Primary,3.41
178,120,260,Primary,18.17
179,120,51,Second Driver,19.91
180,121,86,Primary,5.7
181,122,359,Primary,16.41
182,122,335,Second Driver,13.88
183,123,85,Primary,25.4
184,124,100,Primary,24.27
185,125,108,Primary,10.26
186,126,392,Primary,30.21
187,127,109,Primary,18.21
188,127,64,Second Driver,18.03
189,128,222,Primary,11.19
190,129,368,Primary,4.06
191,130,215,Primary,19.82
192,131,319,Primary,16.78
193,131,148,Second Driver,14.73
194,132,49,Primary,6.69
195,133,156,Primary,8.45
196,133,398,Second Driver,8.55
197,134,159,Primary,9.22
198,134,340,Second Driver,10.14
199,135,377,Primary,15.79
200,136,392,Primary,3.82
201,137,382,Primary,31.92
202,138,210,Primary,1.52
203,139,375,Primary,32.07
204,140,310,Primary,15.98
205,140,47,Second Driver,14.67
206,141,242,Primary,21.35
207,141,313,Second Driver,22.1
208,142,347,Primary,21.31
209,142,336,Second Driver,23.5
210,143,171,Primary,41.47
211,144,170,Primary,13.34
212,145,126,Primary,28.06
213,146,6,Primary,22.15
214,147,221,Primary,4.9
215,148,195,Primary,8.29
216,149,365,Primary,19.37
217,149,418,Second Driver,18.93
218,150,220,Primary,3.84
219,151,23,Primary,13.37
220,152,420,Primary,19.76
221,152,11,Second Driver,21.47
222,153,316,Primary,20.12
223,153,112,Second Driver,19.87
224,154,356,Primary,6.54
225,154,74,Second Driver,6.96
226,155,16,Primary,9.75
227,155,273,Second Driver,9.79
228,156,237,Primary,9.73
229,157,319,Primary,13.95
230,157,382,Second Driver,13.85
231,158,43,Primary,9.96
232,158,40,Second Driver,9.0
233,159,349,Primary,33.8
234,160,45,Primary,8.99
235,161,6,Primary,17.14
236,161,148,Second Driver,18.13
237,162,413,Primary,10.44
238,162,182,Second Driver,11.05
239,163,314,Primary,15.44
240,163,395,Second Driver,16.58
241,164,334,Primary,15.95
242,164,277,Second Driver,15.94
243,165,23,Primary,13.02
244,165,262,Second Driver,11.87
245,166,309,Primary,8.93
246,167,305,Primary,22.56
247,167,126,Second Driver,23.39
248,168,62,Primary,32.02
249,169,94,Primary,2.72
250,170,407,Primary,10.77
251,170,64,Second Driver,11.72
252,171,281,Primary,40.11
253,172,289,Primary,16.19
254,173,39,Primary,11.14
255,173,149,Second Driver,12.59
256,174,327,Primary,8.98
257,174,317,Second Driver,9.39
258,175,8,Primary,13.44
259,175,51,Second Driver,11.91
260,176,288,Primary,8.23
261,177,278,Primary,34.26
262,178,8,Primary,35.72
263,179,369,Primary,14.12
264,180,326,Primary,12.28
265,181,223,Primary,11.9
266,181,22,Second Driver,10.22
267,182,295,Primary,12.44
268,182,381,Second Driver,13.75
269,183,405,Primary,10.84
270,184,370,Primary,6.14
271,185,66,Primary,5.68
272,186,230,Primary,1.55
273,187,7,Primary,18.55
274,188,94,Primary,38.32
275,189,391,Primary,9.91
276,189,164,Second Driver,9.21
277,190,337,Primary,19.4
278,190,331,Second Driver,19.7
279,191,219,Primary,14.21
280,191,139,Second Driver,15.5
281,192,49,Primary,4.81
282,193,259,Primary,12.48
283,194,382,Primary,10.89
284,195,206,Primary,21.06
285,196,148,Primary,23.3
286,196,420,Second Driver,22.76
287,197,3,Primary,15.77
288,197,126,Second Driver,15.74
289,198,354,Primary,3.81
290,199,33,Primary,10.75
291,199,216,Second Driver,11.02
292,200,4,Primary,5.79
293,201,310,Primary,26.83
294,202,14,Primary,14.82
295,202,359,Second Driver,13.96
296,203,38,Primary,6.07
297,203,298,Second Driver,6.38
298,204,336,Primary,15.22
299,205,26,Primary,29.85
300,206,276,Primary,24.51
301,207,46,Primary,19.79
302,207,122,Second Driver,21.56
303,208,376,Primary,22.48
304,209,144,Primary,24.35
305,209,410,Second Driver,19.61
306,210,89,Primary,5.67
307,211,368,Primary,12.44
308,211,226,Second Driver,12.87
309,212,85,Primary,23.27
310,212,420,Second Driver,21.29
311,213,279,Primary,6.89
312,214,326,Primary,10.09
313,214,168,Second Driver,9.21
314,215,33,Primary,11.12
315,215,101,Second Driver,10.48
316,216,148,Primary,14.45
317,217,319,Primary,19.11
318,217,169,Second Driver,23.03
319,218,219,Primary,36.62
320,219,412,Primary,11.1
321,219,375,Second Driver,10.71
322,220,77,Primary,14.1
323,220,32,Second Driver,14.97
324,221,199,Primary,8.59
325,221,7,Second Driver,7.25
326,222,66,Primary,10.54
327,223,152,Primary,9.99
328,223,196,Second Driver,10.22
329,224,103,Primary,24.5
330,225,122,Primary,15.81
331,225,240,Second Driver,16.19
332,226,416,Primary,5.3
333,227,126,Primary,16.76
334,227,12,Second Driver,15.44
335,228,10,Primary,15.54
336,229,37,Primary,7.78
337,230,419,Primary,7.34
338,230,101,Second Driver,7.28
339,231,37,Primary,12.0
340,232,229,Primary,37.97
341,233,93,Primary,9.92
342,233,65,Second Driver,11.8
343,234,65,Primary,3.88
344,235,206,Primary,23.1
345,236,25,Primary,26.2
346,237,255,Primary,19.69
347,237,156,Second Driver,19.03
348,238,263,Primary,14.95
349,238,122,Second Driver,15.24
350,239,121,Primary,8.76
351,239,194,Second Driver,7.17
352,240,271,Primary,9.52
353,241,157,Primary,4.1
354,242,177,Primary,4.91
355,243,347,Primary,14.97
356,244,262,Primary,9.79
357,245,311,Primary,25.8
358,246,46,Primary,24.31
359,247,409,Primary,18.24
360,248,12,Primary,38.26
361,249,8,Primary,3.38
362,250,191,Primary,21.14
363,250,187,Second Driver,18.8
364,251,214,Primary,15.07
365,251,45,Second Driver,14.74
366,252,4,Primary,11.11
367,252,313,Second Driver,11.89
368,253,100,Primary,27.45
369,254,419,Primary,24.02
370,255,109,Primary,23.82
371,256,307,Primary,7.71
372,256,207,Second Driver,9.14
373,257,295,Primary,9.81
374,257,188,Second Driver,9.68
375,258,398,Primary,25.05
376,259,135,Primary,22.29
377,259,391,Second Driver,21.13
378,260,70,Primary,2.14
379,261,405,Primary,9.16
380,261,331,Second Driver,8.26
381,262,239,Primary,8.53
382,262,10,Second Driver,7.95
383,263,202,Primary,17.21
384,264,79,Primary,8.6
385,265,29,Primary,8.19
386,266,350,Primary,10.65
387,266,188,Second Driver,11.38
388,267,276,Primary,23.48
389,268,382,Primary,36.17
390,269,89,Primary,18.09
391,269,216,Second Driver,20.44
392,270,206,Primary,5.74
393,271,287,Primary,18.06
394,271,40,Second Driver,16.57
395,272,222,Primary,23.48
396,273,24,Primary,12.43
397,273,400,Second Driver,13.29
398,274,54,Primary,11.88
399,275,106,Primary,12.61
400,276,197,Primary,8.27
401,277,63,Primary,27.14
402,278,227,Primary,10.99
403,278,399,Second Driver,9.75
404,279,10,Primary,0.65
405,280,144,Primary,0.84
406,281,357,Primary,11.72
407,281,4,Second Driver,11.37
408,282,375,Primary,11.44
409,282,412,Second Driver,11.76
410,283,226,Primary,7.11
411,284,62,Primary,14.03
412,284,310,Second Driver,13.95
413,285,343,Primary,44.68
414,286,207,Primary,33.62
415,287,287,Primary,3.22
416,288,126,Primary,20.29
417,288,368,Second Driver,19.5
418,289,42,Primary,19.48
419,290,16,Primary,14.79
420,290,168,Second Driver,15.03
421,291,262,Primary,16.39
422,291,160,Second Driver,14.76
423,292,385,Primary,18.4
424,293,388,Primary,37.96
425,294,35,Primary,10.91
426,294,317,Second Driver,10.24
427,295,381,Primary,21.28
428,296,107,Primary,43.5
429,297,137,Primary,10.26
430,297,222,Second Driver,10.22
431,298,205,Primary,3.81
432,299,8,Primary,20.34
433,299,31,Second Driver,19.84
434,300,194,Primary,3.86
435,301,61,Primary,3.82
436,302,140,Primary,21.52
437,302,89,Second Driver,21.03
438,303,262,Primary,22.56
439,304,165,Primary,5.17
440,305,53,Primary,8.64
441,306,346,Primary,16.72
442,307,331,Primary,11.83
443,308,49,Primary,8.27
444,309,68,Primary,19.64
445,310,161,Primary,28.26
446,311,57,Primary,19.69
447,311,269,Second Driver,19.85
448,312,237,Primary,11.05
449,313,94,Primary,10.49
450,313,107,Second Driver,10.63
451,314,371,Primary,3.62
452,315,93,Primary,12.3
453,315,289,Second Driver,12.6
454,316,226,Primary,7.45
455,317,337,Primary,13.54
456,317,407,Second Driver,15.2
457,318,251,Primary,12.87
458,319,11,Primary,16.85
459,319,62,Second Driver,17.01
460,320,156,Primary,9.15
461,320,363,Second Driver,8.46
462,321,271,Primary,16.5
463,322,96,Primary,22.74
464,323,122,Primary,42.7
465,324,410,Primary,7.99
466,324,15,Second Driver,6.48
467,325,182,Primary,19.94
468,325,389,Second Driver,21.58
469,326,40,Primary,2.64
470,327,262,Primary,10.67
471,327,344,Second Driver,10.39
472,328,355,Primary,11.02
473,329,245,Primary,0.44
474,330,3,Primary,7.6
475,331,68,Primary,9.15
476,332,329,Primary,3.18
477,333,166,Primary,16.03
478,333,333,Second Driver,14.08
479,334,228,Primary,20.62
480,335,262,Primary,10.19
481,336,273,Primary,15.2
482,336,59,Second Driver,17.23
483,337,410,Primary,10.84
484,337,368,Second Driver,10.22
485,338,49,Primary,7.3
486,339,162,Primary,13.32
487,340,125,Primary,13.97
488,340,73,Second Driver,12.64
489,341,98,Primary,5.58
490,341,8,Second Driver,6.14
491,342,295,Primary,16.55
492,343,217,Primary,24.36
493,343,323,Second Driver,24.03
494,344,341,Primary,18.27
495,345,26,Primary,9.39
496,346,149,Primary,49.4
497,347,310,Primary,12.96
498,347,165,Second Driver,12.03
499,348,372,Primary,31.41
500,349,357,Primary,12.86
501,349,252,Second Driver,15.27
502,350,158,Primary,21.48
503,351,153,Primary,13.39
504,352,292,Primary,12.64
505,352,50,Second Driver,12.43
506,353,213,Primary,38.86
507,354,161,Primary,9.48
508,354,355,Second Driver,9.53
509,355,88,Primary,9.74
510,355,120,Second Driver,10.86
511,356,290,Primary,6.46
512,356,69,Second Driver,6.54
513,357,325,Primary,16.37
514,357,94,Second Driver,15.84
515,358,361,Primary,47.47
516,359,10,Primary,14.25
517,360,247,Primary,9.87
518,361,261,Primary,14.0
519,361,50,Second Driver,11.79
520,362,271,Primary,0.87
521,363,52,Primary,13.64
522,364,15,Primary,4.23
523,365,358,Primary,8.8
524,365,10,Second Driver,8.3
525,366,68,Primary,16.1
526,367,342,Primary,10.38
527,368,248,Primary,18.81
528,368,85,Second Driver,16.7
529,369,184,Primary,29.44
530,370,44,Primary,9.81
531,370,294,Second Driver,10.27
532,371,107,Primary,12.62
533,371,325,Second Driver,11.7
534,372,45,Primary,18.76
535,373,302,Primary,25.71
536,373,87,Second Driver,21.79
537,374,36,Primary,10.36
538,375,293,Primary,3.39
539,376,190,Primary,8.6
540,377,334,Primary,11.06
541,377,212,Second Driver,11.72
542,378,89,Primary,2.95
543,379,85,Primary,21.19
544,379,19,Second Driver,20.34
545,380,26,Primary,28.32
546,381,409,Primary,13.9
547,381,57,Second Driver,14.63
548,382,370,Primary,7.53
549,383,162,Primary,1.18
550,384,94,Primary,21.96
551,384,418,Second Driver,23.18
552,385,219,Primary,1.08
553,386,3,Primary,15.79
554,386,305,Second Driver,16.77
555,387,334,Primary,15.81
556,387,260,Second Driver,16.57
557,388,63,Primary,5.78
558,389,363,Primary,16.5
559,389,43,Second Driver,18.21
560,390,320,Primary,11.54
561,390,140,Second Driver,9.94
562,391,341,Primary,12.37
563,391,160,Second Driver,10.92
564,392,325,Primary,42.05
565,393,220,Primary,18.22
566,393,344,Second Driver,20.1
567,394,192,Primary,4.12
568,395,245,Primary,39.12
569,396,271,Primary,0.68
570,397,215,Primary,12.68
571,397,169,Second Driver,13.67
572,398,85,Primary,9.16
573,398,148,Second Driver,8.77
574,399,143,Primary,9.74
575,399,312,Second Driver,8.57
576,400,110,Primary,18.08
577,400,3,Second Driver,17.69
578,401,229,Primary,8.38
579,402,241,Primary,19.01
580,403,112,Primary,32.81
581,404,132,Primary,15.7
582,404,238,Second Driver,14.22
583,405,38,Primary,0.53
584,406,284,Primary,14.61
585,406,210,Second Driver,13.35
586,407,279,Primary,11.43
587,408,42,Primary,9.5
588,409,100,Primary,7.27
589,410,218,Primary,11.88
590,410,262,Second Driver,14.08
591,411,73,Primary,13.79
592,412,321,Primary,11.26
593,413,317,Primary,10.52
594,414,11,Primary,45.18
595,415,120,Primary,18.62
596,415,283,Second Driver,19.18
597,416,15,Primary,20.4
598,416,110,Second Driver,19.4
599,417,320,Primary,15.63
600,417,260,Second Driver,13.61
601,418,395,Primary,8.13
602,418,329,Second Driver,9.7
603,419,84,Primary,13.75
604,419,183,Second Driver,13.18
605,420,383,Primary,32.23
606,421,185,Primary,3.64
607,422,15,Primary,9.63
608,422,288,Second Driver,8.22
609,423,127,Primary,1.92
610,424,417,Primary,7.53
611,425,259,Primary,32.07
612,426,49,Primary,9.85
613,427,237,Primary,25.59
614,428,339,Primary,12.26
615,429,184,Primary,5.93
616,430,266,Primary,14.38
617,430,55,Second Driver,13.58
618,431,342,Primary,7.74
619,431,44,Second Driver,6.72
620,432,19,Primary,22.25
621,433,254,Primary,12.64
622,433,279,Second Driver,11.06
623,434,280,Primary,8.18
624,434,387,Second Driver,9.2
625,435,96,Primary,10.05
626,435,401,Second Driver,10.06
627,436,220,Primary,7.14
628,436,177,Second Driver,6.71
629,437,365,Primary,15.16
630,437,73,Second Driver,16.59
631,438,61,Primary,21.19
632,438,73,Second Driver,20.29
633,439,335,Primary,8.02
634,439,323,Second Driver,8.95
635,440,305,Primary,3.12
636,441,351,Primary,2.34
637,442,4,Primary,22.39
638,443,301,Primary,12.98
639,443,290,Second Driver,13.43
640,444,241,Primary,33.46
641,445,418,Primary,8.43
642,445,68,Second Driver,9.16
643,446,110,Primary,9.03
644,447,92,Primary,9.5
645,447,305,Second Driver,8.72
646,448,35,Primary,9.55
647,448,293,Second Driver,9.46
648,449,18,Primary,7.94
649,449,362,Second Driver,6.94
650,450,72,Primary,19.25
651,450,312,Second Driver,18.78
652,451,305,Primary,23.53
653,451,323,Second Driver,25.85
654,452,262,Primary,14.65
655,453,260,Primary,21.84
656,453,122,Second Driver,21.84
657,454,368,Primary,19.48
658,454,321,Second Driver,18.91
659,455,196,Primary,30.07
660,456,248,Primary,39.49
661,457,319,Primary,36.12
662,458,313,Primary,19.37
663,458,81,Second Driver,15.97
664,459,35,Primary,13.91
665,459,121,Second Driver,13.78
666,460,198,Primary,13.27
667,460,341,Second Driver,11.69
668,461,64,Primary,0.65
669,462,299,Primary,10.14
670,463,20,Primary,7.23
671,463,239,Second Driver,7.92
672,464,105,Primary,6.92
673,465,37,Primary,48.77
674,466,103,Primary,16.54
675,466,129,Second Driver,14.3
676,467,273,Primary,8.79
677,468,342,Primary,1.94
678,469,180,Primary,16.21
679,469,131,Second Driver,12.59
680,470,377,Primary,38.44
681,471,403,Primary,8.49
682,471,271,Second Driver,8.24
683,472,74,Primary,15.16
684,472,28,Second Driver,12.92
685,473,247,Primary,12.72
686,473,359,Second Driver,14.62
687,474,129,Primary,30.43
688,475,262,Primary,18.65
689,475,276,Second Driver,18.61
690,476,182,Primary,21.42
691,476,274,Second Driver,20.5
692,477,233,Primary,27.57
693,478,245,Primary,5.28
694,479,144,Primary,11.38
695,479,217,Second Driver,10.46
696,480,398,Primary,28.42
697,480,43,Second Driver,27.18
698,481,190,Primary,15.27
699,481,338,Second Driver,14.99
700,482,221,Primary,15.15
701,482,359,Second Driver,14.9
702,483,149,Primary,32.56
703,484,340,Primary,7.57
704,485,196,Primary,11.08
705,486,254,Primary,13.39
706,486,398,Second Driver,11.77
707,487,294,Primary,44.17
708,488,48,Primary,12.73
709,489,131,Primary,2.49
710,490,360,Primary,31.54
711,491,169,Primary,11.41
712,491,278,Second Driver,11.03
713,492,342,Primary,36.65
714,493,126,Primary,14.49
715,493,63,Second Driver,16.25
716,494,297,Primary,19.54
717,495,323,Primary,24.12
718,496,153,Primary,7.4
719,496,203,Second Driver,7.71
720,497,229,Primary,15.76
721,497,149,Second Driver,16.42
722,498,35,Primary,15.87
723,498,407,Second Driver,16.09
724,499,254,Primary,4.78
725,500,418,Primary,20.35
726,501,258,Primary,16.86
727,501,262,Second Driver,18.0
728,502,282,Primary,9.12
729,502,372,Second Driver,9.89
730,503,7,Primary,14.68
731,504,211,Primary,23.46
732,505,160,Primary,17.91
733,506,149,Primary,5.73
734,506,106,Second Driver,7.18
735,507,372,Primary,11.42
736,507,282,Second Driver,11.18
737,508,89,Primary,13.59
738,509,196,Primary,2.27
739,510,288,Primary,16.93
740,510,192,Second Driver,17.38
741,511,400,Primary,33.77
742,512,114,Primary,7.67
743,512,236,Second Driver,8.14
744,513,331,Primary,7.12
745,513,295,Second Driver,7.1
746,514,105,Primary,5.64
747,515,401,Primary,0.86
748,516,51,Primary,21.38
749,516,98,Second Driver,20.16
750,517,319,Primary,5.11
751,517,215,Second Driver,5.76
752,518,166,Primary,16.16
753,519,133,Primary,0.41
754,520,361,Primary,14.18
755,520,308,Second Driver,13.68
756,521,319,Primary,17.34
757,521,271,Second Driver,17.59
758,522,388,Primary,5.92
759,522,192,Second Driver,6.1
760,523,137,Primary,8.1
761,523,255,Second Driver,9.0
762,524,97,Primary,9.75
763,524,49,Second Driver,10.09
764,525,186,Primary,7.66
765,525,292,Second Driver,7.94
766,526,169,Primary,11.49
767,526,420,Second Driver,11.2
768,527,30,Primary,40.74
769,528,276,Primary,8.16
770,528,133,Second Driver,8.38
771,529,323,Primary,23.27
772,529,126,Second Driver,23.09
773,530,39,Primary,10.29
774,531,157,Primary,28.52
775,532,78,Primary,12.88
776,532,378,Second Driver,11.68
777,533,122,Primary,10.88
778,534,169,Primary,19.12
779,535,231,Primary,15.98
780,535,315,Second Driver,16.19
781,536,81,Primary,6.76
782,536,90,Second Driver,7.48
783,537,148,Primary,23.37
784,538,117,Primary,10.21
785,539,240,Primary,13.62
786,539,161,Second Driver,12.92
787,540,399,Primary,10.25
788,540,57,Second Driver,10.95
789,541,6,Primary,8.8
790,542,165,Primary,14.72
791,542,62,Second Driver,15.19
792,543,3,Primary,6.62
793,544,373,Primary,13.63
794,545,100,Primary,13.62
795,545,11,Second Driver,13.73
796,546,305,Primary,17.91
797,547,114,Primary,26.88
798,548,132,Primary,10.47
799,549,312,Primary,29.47
800,550,62,Primary,3.55
801,551,304,Primary,7.53
802,551,207,Second Driver,7.0
803,552,64,Primary,5.91
804,552,337,Second Driver,5.26
805,553,126,Primary,10.94
806,553,368,Second Driver,9.39
807,554,355,Primary,18.07
808,554,103,Second Driver,17.95
809,555,264,Primary,11.58
810,555,45,Second Driver,12.6
811,556,222,Primary,3.15
812,557,366,Primary,18.18
813,557,129,Second Driver,17.4
814,558,10,Primary,10.27
815,559,139,Primary,23.11
816,559,121,Second Driver,21.05
817,560,357,Primary,19.3
818,560,145,Second Driver,18.65
819,561,404,Primary,31.17
820,562,222,Primary,12.9
821,562,279,Second Driver,12.79
822,563,100,Primary,35.61
823,564,8,Primary,15.14
824,565,129,Primary,16.78
825,565,103,Second Driver,17.12
826,566,244,Primary,17.08
827,566,45,Second Driver,18.43
828,567,162,Primary,12.38
829,567,365,Second Driver,11.23
830,568,266,Primary,10.7
831,569,143,Primary,25.8
832,569,25,Second Driver,23.85
833,570,93,Primary,16.89
834,570,66,Second Driver,17.97
835,571,247,Primary,7.3
836,572,107,Primary,7.59
837,573,60,Primary,26.17
838,574,370,Primary,7.4
839,574,221,Second Driver,7.86
840,575,414,Primary,31.43
841,576,190,Primary,26.06
842,577,375,Primary,6.53
843,578,324,Primary,5.57
844,579,51,Primary,8.6
845,579,53,Second Driver,9.28
846,580,185,Primary,11.75
847,580,202,Second Driver,11.58
848,581,313,Primary,9.46
849,581,74,Second Driver,8.92
850,582,310,Primary,21.89
851,582,382,Second Driver,25.47
852,583,162,Primary,12.32
853,584,375,Primary,12.56
854,584,412,Second Driver,14.23
855,585,403,Primary,15.42
856,585,291,Second Driver,15.58
857,586,39,Primary,35.11
858,587,186,Primary,18.67
859,587,416,Second Driver,19.68
860,588,370,Primary,5.63
861,589,367,Primary,17.72
862,590,227,Primary,22.6
863,590,269,Second Driver,21.09
864,591,333,Primary,24.0
865,591,350,Second Driver,21.96
866,592,274,Primary,18.93
867,592,329,Second Driver,17.85
868,593,410,Primary,11.52
869,593,288,Second Driver,13.47
870,594,59,Primary,13.22
871,594,114,Second Driver,13.64
872,595,109,Primary,12.18
873,595,193,Second Driver,11.68
874,596,418,Primary,19.17
875,596,73,Second Driver,18.78
876,597,359,Primary,10.89
877,598,14,Primary,17.79
878,598,323,Second Driver,21.06
879,599,337,Primary,7.65
880,599,64,Second Driver,6.87
881,600,58,Primary,26.74
882,601,154,Primary,20.89
883,601,189,Second Driver,22.07
884,602,68,Primary,7.21
885,603,335,Primary,28.51
886,603,3,Second Driver,23.38
887,604,284,Primary,13.14
888,604,336,Second Driver,15.18
889,605,358,Primary,6.68
890,605,401,Second Driver,7.48
891,606,415,Primary,15.48
892,606,133,Second Driver,17.12
893,607,298,Primary,6.83
894,608,365,Primary,17.92
895,609,331,Primary,21.83
896,609,38,Second Driver,20.4
897,610,345,Primary,6.74
898,611,417,Primary,20.27
899,612,417,Primary,17.88
900,612,215,Second Driver,16.2
901,613,32,Primary,22.62
902,614,61,Primary,20.07
903,615,164,Primary,18.95
904,615,268,Second Driver,17.39
905,616,35,Primary,7.12
906,617,368,Primary,15.54
907,618,147,Primary,50.21
908,619,151,Primary,13.61
909,619,99,Second Driver,13.12
910,620,376,Primary,9.46
911,621,37,Primary,11.91
912,621,355,Second Driver,11.76
913,622,254,Primary,7.38
914,623,46,Primary,28.71
915,624,124,Primary,6.06
916,624,374,Second Driver,6.58
917,625,108,Primary,46.2
918,626,214,Primary,27.46
919,626,289,Second Driver,24.82
920,627,413,Primary,20.47
921,627,329,Second Driver,18.8
922,628,258,Primary,5.45
923,629,372,Primary,22.85
924,629,354,Second Driver,22.79
925,630,107,Primary,8.33
926,630,289,Second Driver,7.93
927,631,35,Primary,4.86
928,632,132,Primary,5.4
929,633,45,Primary,2.61
930,634,68,Primary,16.82
931,634,93,Second Driver,16.54
932,635,288,Primary,20.17
933,636,53,Primary,26.12
934,636,419,Second Driver,22.71
935,637,62,Primary,7.05
936,637,382,Second Driver,6.98
937,638,168,Primary,12.55
938,638,43,Second Driver,12.31
939,639,3,Primary,9.7
940,639,226,Second Driver,10.35
941,640,161,Primary,38.4
942,641,172,Primary,12.1
943,641,198,Second Driver,11.5
944,642,32,Primary,8.72
945,643,322,Primary,19.4
946,644,129,Primary,8.74
947,644,378,Second Driver,9.1
948,645,43,Primary,9.36
949,645,137,Second Driver,9.24
950,646,8,Primary,14.57
951,646,89,Second Driver,14.26
952,647,318,Primary,10.76
