trip_id,trip_reference,vehicle_id,carrier_id,origin_facility_id,destination_facility_id,planned_departure,actual_departure,actual_arrival,planned_distance_km,actual_distance_km,fuel_used_litres,pallets_loaded,trip_status
19,TR2301010000019,263,10,21,27,2023-01-01 01:15:00,2023-01-01 02:23:00,2023-01-01 19:55:57,1492.8,1685.7,516.26,53,COMPLETED
20,TR2301010000020,153,1,13,9,2023-01-01 15:45:00,2023-01-01 16:25:00,2023-01-01 18:49:49,119.5,132.8,51.33,36,COMPLETED
21,TR2301010000021,273,3,10,9,2023-01-01 11:15:00,2023-01-01 11:30:00,2023-01-01 12:12:10,44.4,43.9,16.23,21,COMPLETED
22,TR2301010000022,263,10,44,3,2023-01-01 20:30:00,2023-01-01 21:46:00,2023-01-03 06:48:13,2428.9,2440.5,883.31,38,COMPLETED
23,TR2301020000023,283,9,5,34,2023-01-02 13:30:00,2023-01-02 14:25:00,2023-01-03 09:07:37,1436.8,1401.7,474.68,43,COMPLETED
24,TR2301020000024,10,3,49,16,2023-01-02 18:30:00,2023-01-02 19:17:00,2023-01-04 05:33:28,2189.6,2263.1,962.9,18,COMPLETED
25,TR2301020000025,257,2,11,42,2023-01-02 00:45:00,2023-01-02 01:23:00,2023-01-02 23:29:04,1304.2,1369.2,580.52,29,COMPLETED
26,TR2301020000026,326,10,47,7,2023-01-02 10:30:00,2023-01-02 10:57:00,2023-01-03 17:02:00,2015.5,2122.6,777.6,14,COMPLETED
27,TR2301020000027,321,4,38,29,2023-01-02 11:15:00,2023-01-02 11:39:00,2023-01-04 03:17:36,2644.6,2601.0,1005.73,5,COMPLETED
28,TR2301020000028,89,8,49,41,2023-01-02 02:15:00,2023-01-02 02:47:00,2023-01-03 17:39:25,2874.3,3058.7,1047.37,16,COMPLETED
29,TR2301020000029,303,3,28,23,2023-01-02 02:30:00,2023-01-02 04:51:00,2023-01-02 11:54:40,713.6,711.2,279.18,15,COMPLETED
30,TR2301020000030,147,8,29,4,2023-01-02 15:15:00,2023-01-02 15:40:00,2023-01-03 02:34:35,781.2,804.3,224.1,17,COMPLETED
31,TR2301020000031,30,1,15,16,2023-01-02 17:30:00,2023-01-02 18:06:00,2023-01-02 22:49:46,224.9,204.7,72.07,23,COMPLETED
32,TR2301020000032,133,2,19,48,2023-01-02 18:45:00,2023-01-02 19:32:00,2023-01-03 09:59:24,1195.5,1218.5,558.33,26,COMPLETED
33,TR2301020000033,93,4,21,27,2023-01-02 16:15:00,2023-01-02 17:03:00,2023-01-03 03:53:45,1115.5,1085.1,420.99,52,COMPLETED
34,TR2301020000034,35,1,1,35,2023-01-02 03:45:00,2023-01-02 03:52:00,2023-01-03 08:28:52,2215.8,2303.7,969.18,13,COMPLETED
35,TR2301020000035,116,2,20,1,2023-01-02 22:45:00,2023-01-02 23:21:00,2023-01-03 22:13:14,1458.2,1424.3,567.78,49,COMPLETED
36,TR2301020000036,332,2,20,17,2023-01-02 01:45:00,2023-01-02 02:45:00,2023-01-02 07:36:23,226.0,250.5,78.63,27,COMPLETED
37,TR2301020000037,300,9,17,47,2023-01-02 19:00:00,2023-01-02 19:45:00,2023-01-02 21:02:16,77.0,75.4,29.68,17,COMPLETED
38,TR2301020000038,16,4,21,32,2023-01-02 06:00:00,2023-01-02 07:26:00,2023-01-03 10:24:29,2447.9,2529.5,1118.82,7,COMPLETED
39,TR2301020000039,74,2,31,42,2023-01-02 21:30:00,2023-01-02 21:44:00,2023-01-03 13:38:18,1152.6,1143.5,449.14,53,COMPLETED
40,TR2301020000040,196,8,12,50,2023-01-02 09:00:00,2023-01-02 09:45:00,2023-01-03 10:12:28,2258.8,2241.5,932.71,30,COMPLETED
41,TR2301020000041,223,2,25,9,2023-01-02 03:45:00,2023-01-02 04:01:00,2023-01-03 01:09:43,1959.1,1939.5,766.11,10,COMPLETED
42,TR2301020000042,64,7,2,36,2023-01-02 07:00:00,2023-01-02 07:42:00,2023-01-03 23:16:43,2909.8,2935.4,961.46,11,COMPLETED
43,TR2301020000043,104,5,1,8,2023-01-02 00:00:00,2023-01-02 00:38:00,2023-01-02 07:05:29,339.3,338.2,110.21,24,COMPLETED
44,TR2301020000044,13,2,45,6,2023-01-02 11:30:00,2023-01-02 11:42:00,2023-01-03 00:08:28,758.3,858.6,304.62,50,COMPLETED
45,TR2301020000045,103,2,28,39,2023-01-02 22:45:00,2023-01-02 23:10:00,2023-01-03 18:35:01,1441.7,1527.2,607.37,33,COMPLETED
46,TR2301020000046,78,6,38,9,2023-01-02 20:30:00,2023-01-02 20:33:00,2023-01-03 06:01:01,882.3,983.4,272.1,4,COMPLETED
47,TR2301020000047,134,2,36,8,2023-01-02 09:00:00,2023-01-02 09:30:00,2023-01-02 16:21:13,659.1,724.3,279.56,27,COMPLETED
48,TR2301020000048,263,10,46,42,2023-01-02 01:45:00,2023-01-02 02:06:00,2023-01-02 11:48:03,884.3,936.0,343.95,23,COMPLETED
49,TR2301020000049,311,10,42,46,2023-01-02 17:30:00,2023-01-02 17:50:00,2023-01-04 06:24:21,3042.5,3039.4,1250.59,35,COMPLETED
50,TR2301020000050,301,9,21,42,2023-01-02 22:45:00,2023-01-02 23:23:00,2023-01-04 06:44:24,1980.0,2127.3,608.82,52,COMPLETED
51,TR2301020000051,286,4,33,42,2023-01-02 00:45:00,2023-01-02 01:25:00,2023-01-02 06:57:45,620.4,629.5,307.84,36,COMPLETED
52,TR2301020000052,131,10,14,50,2023-01-02 02:45:00,2023-01-02 03:42:00,2023-01-04 01:42:01,3083.5,3183.3,1247.74,52,COMPLETED
53,TR2301020000053,171,3,6,44,2023-01-02 09:15:00,2023-01-02 09:22:00,2023-01-04 10:00:42,2975.5,3317.2,1339.76,25,COMPLETED
54,TR2301020000054,246,2,33,11,2023-01-02 23:30:00,2023-01-03 00:12:00,2023-01-03 20:06:21,1733.0,1782.2,587.88,17,COMPLETED
55,TR2301020000055,119,3,25,26,2023-01-02 09:30:00,2023-01-02 09:44:00,2023-01-02 15:38:59,224.1,217.8,82.64,45,COMPLETED
56,TR2301020000056,153,1,46,35,2023-01-02 08:00:00,2023-01-02 08:25:00,2023-01-03 18:11:13,2520.9,2555.0,635.09,53,COMPLETED
57,TR2301020000057,152,4,39,20,2023-01-02 02:45:00,2023-01-02 03:15:00,2023-01-03 01:21:07,1614.5,1611.9,552.24,52,COMPLETED
58,TR2301020000058,92,5,11,9,2023-01-02 17:15:00,2023-01-02 17:44:00,2023-01-03 01:15:36,278.1,277.4,109.33,46,COMPLETED
59,TR2301020000059,183,8,23,50,2023-01-02 20:45:00,2023-01-02 21:23:00,2023-01-04 10:16:13,2884.6,2857.7,1300.04,2,COMPLETED
60,TR2301020000060,235,1,9,37,2023-01-02 20:00:00,2023-01-02 20:34:00,2023-01-03 12:25:21,945.8,983.8,345.93,42,COMPLETED
61,TR2301020000061,119,3,40,20,2023-01-02 11:00:00,2023-01-02 11:59:00,2023-01-03 09:17:40,1597.6,1725.7,552.57,37,COMPLETED
62,TR2301020000062,255,10,37,4,2023-01-02 08:45:00,2023-01-02 09:18:00,2023-01-03 21:08:09,2751.9,2998.7,1338.69,56,COMPLETED
63,TR2301020000063,27,10,25,6,2023-01-02 03:45:00,2023-01-02 03:52:00,2023-01-03 11:31:04,1601.4,1558.5,585.72,5,COMPLETED
64,TR2301020000064,25,1,26,47,2023-01-02 19:00:00,2023-01-02 19:17:00,2023-01-03 14:42:58,1327.2,1340.7,359.61,19,COMPLETED
65,TR2301020000065,307,6,47,13,2023-01-02 10:00:00,2023-01-02 10:17:00,2023-01-03 04:15:19,1333.6,1425.1,527.97,9,COMPLETED
66,TR2301020000066,142,6,3,9,2023-01-02 17:45:00,2023-01-02 18:29:00,2023-01-04 12:18:32,3006.2,3141.3,1449.48,17,COMPLETED
67,TR2301020000067,63,5,19,30,2023-01-02 09:45:00,2023-01-02 10:02:00,2023-01-03 15:36:53,2610.9,2795.0,1074.56,6,COMPLETED
68,TR2301020000068,274,1,12,20,2023-01-02 09:00:00,2023-01-02 09:16:00,2023-01-03 15:51:05,2023.0,2066.0,913.11,11,COMPLETED
69,TR2301020000069,229,5,13,49,2023-01-02 21:45:00,2023-01-02 21:57:00,2023-01-03 09:53:10,957.7,924.2,387.29,26,COMPLETED
70,TR2301020000070,181,6,47,22,2023-01-02 07:00:00,2023-01-02 08:08:00,2023-01-02 14:55:30,314.3,319.9,123.35,36,COMPLETED
71,TR2301020000071,308,3,36,19,2023-01-02 01:30:00,2023-01-02 01:58:00,2023-01-03 21:47:20,3055.8,3324.6,1421.22,40,COMPLETED
72,TR2301020000072,144,9,48,27,2023-01-02 10:00:00,2023-01-02 10:16:00,2023-01-02 14:52:25,199.9,190.7,81.53,51,COMPLETED
73,TR2301020000073,21,1,14,24,2023-01-02 12:30:00,2023-01-02 13:14:00,2023-01-03 13:16:39,2147.4,2245.7,793.82,42,COMPLETED
74,TR2301020000074,201,4,48,37,2023-01-02 04:30:00,2023-01-02 05:48:00,2023-01-03 04:39:49,1743.7,1862.2,588.24,26,COMPLETED
75,TR2301020000075,61,9,21,17,2023-01-02 17:00:00,2023-01-02 17:23:00,2023-01-02 18:21:18,64.0,72.7,33.05,58,COMPLETED
76,TR2301030000076,307,6,34,38,2023-01-03 13:15:00,2023-01-03 13:37:00,2023-01-04 17:34:13,2427.4,2629.9,900.66,35,COMPLETED
77,TR2301030000077,201,4,19,9,2023-01-03 09:30:00,2023-01-03 10:02:00,2023-01-04 02:37:34,1301.8,1264.4,410.18,24,COMPLETED
78,TR2301030000078,4,9,7,43,2023-01-03 05:45:00,2023-01-03 07:06:00,2023-01-04 22:21:16,2417.1,2335.9,897.13,16,COMPLETED
79,TR2301030000079,31,3,8,26,2023-01-03 04:30:00,2023-01-03 05:23:00,2023-01-04 22:42:53,2435.3,2545.4,929.07,32,COMPLETED
80,TR2301030000080,103,2,38,49,2023-01-03 16:00:00,2023-01-03 16:45:00,2023-01-04 17:16:26,1941.6,1980.3,710.34,59,COMPLETED
81,TR2301030000081,94,1,25,24,2023-01-03 05:30:00,2023-01-03 06:49:00,2023-01-03 15:32:53,336.7,325.5,150.09,10,COMPLETED
82,TR2301030000082,173,7,33,34,2023-01-03 07:15:00,2023-01-03 07:43:00,2023-01-03 15:33:39,257.6,269.5,66.24,25,COMPLETED
83,TR2301030000083,15,6,9,2,2023-01-03 06:15:00,2023-01-03 06:26:00,2023-01-04 01:59:10,1534.3,1566.4,485.11,48,COMPLETED
84,TR2301030000084,182,3,34,40,2023-01-03 20:30:00,2023-01-03 21:12:00,2023-01-05 08:18:07,2389.1,2512.4,971.81,23,COMPLETED
85,TR2301030000085,118,2,19,48,2023-01-03 23:00:00,2023-01-03 23:32:00,2023-01-04 09:55:19,1099.3,1047.2,450.29,42,COMPLETED
86,TR2301030000086,36,1,1,46,2023-01-03 05:45:00,2023-01-03 06:59:00,2023-01-04 03:45:46,1634.6,1705.0,529.77,58,COMPLETED
87,TR2301030000087,336,2,27,5,2023-01-03 20:45:00,2023-01-03 21:15:00,2023-01-04 11:58:01,840.2,922.8,329.29,43,COMPLETED
88,TR2301030000088,78,6,34,15,2023-01-03 11:45:00,2023-01-03 12:16:00,2023-01-04 23:44:57,2591.3,2725.1,1045.57,9,COMPLETED
89,TR2301030000089,93,4,31,43,2023-01-03 16:45:00,2023-01-03 17:12:00,2023-01-05 03:26:28,2385.9,2475.4,1111.19,47,COMPLETED
90,TR2301030000090,92,5,47,10,2023-01-03 05:15:00,2023-01-03 05:22:00,2023-01-05 03:38:37,2774.2,2941.5,1123.31,3,COMPLETED
91,TR2301030000091,212,5,22,41,2023-01-03 19:00:00,2023-01-03 20:04:00,2023-01-05 09:33:05,2998.4,3123.5,1266.81,22,COMPLETED
92,TR2301030000092,90,2,40,38,2023-01-03 13:30:00,2023-01-03 14:07:00,2023-01-03 20:16:06,288.3,298.1,128.44,49,COMPLETED
93,TR2301030000093,67,8,16,17,2023-01-03 15:15:00,2023-01-03 15:26:00,2023-01-04 09:26:21,1314.7,1374.9,436.59,23,COMPLETED
94,TR2301030000094,238,5,28,19,2023-01-03 14:15:00,2023-01-03 15:14:00,2023-01-04 16:26:16,2183.9,2432.8,954.71,9,COMPLETED
95,TR2301030000095,126,7,42,33,2023-01-03 23:30:00,2023-01-04 00:07:00,2023-01-04 07:49:32,610.5,589.6,253.89,25,COMPLETED
96,TR2301030000096,64,7,48,22,2023-01-03 22:00:00,2023-01-03 22:21:00,2023-01-04 14:19:53,1309.6,1372.0,545.77,41,COMPLETED
97,TR2301030000097,211,4,43,5,2023-01-03 01:00:00,2023-01-03 02:43:00,2023-01-03 22:03:06,1725.6,1778.1,517.06,47,COMPLETED
98,TR2301030000098,104,5,13,33,2023-01-03 08:00:00,2023-01-03 08:31:00,2023-01-05 00:09:15,2703.1,2705.3,754.32,56,COMPLETED
99,TR2301030000099,241,6,17,3,2023-01-03 04:15:00,2023-01-03 04:29:00,2023-01-03 16:30:43,948.3,951.3,368.08,52,COMPLETED
100,TR2301030000100,242,6,23,1,2023-01-03 18:00:00,2023-01-03 18:24:00,2023-01-04 07:39:44,1145.9,1281.1,325.52,28,COMPLETED
101,TR2301030000101,246,2,32,7,2023-01-03 15:30:00,2023-01-03 16:14:00,2023-01-04 17:05:57,1636.7,1781.4,679.34,8,COMPLETED
102,TR2301030000102,197,6,40,9,2023-01-03 23:45:00,2023-01-04 00:16:00,2023-01-05 11:36:30,2788.7,2836.9,908.9,56,COMPLETED
103,TR2301030000103,197,6,19,48,2023-01-03 10:15:00,2023-01-03 10:37:00,2023-01-05 01:48:22,2787.6,2700.5,1206.87,43,COMPLETED
104,TR2301030000104,238,5,30,37,2023-01-03 13:45:00,2023-01-03 13:55:00,2023-01-04 01:29:51,823.8,852.7,363.61,20,COMPLETED
105,TR2301030000105,52,1,2,47,2023-01-03 00:30:00,2023-01-03 00:48:00,2023-01-03 21:00:55,1764.0,1702.3,688.06,21,COMPLETED
106,TR2301030000106,330,10,43,11,2023-01-03 01:30:00,2023-01-03 02:39:00,2023-01-03 07:24:22,231.2,227.9,105.49,20,COMPLETED
107,TR2301030000107,80,2,15,18,2023-01-03 02:00:00,2023-01-03 02:56:00,2023-01-03 12:48:35,965.1,1001.8,427.18,27,COMPLETED
108,TR2301030000108,210,1,22,29,2023-01-03 10:00:00,2023-01-03 10:11:00,2023-01-05 06:43:46,3096.0,2980.5,1313.95,36,CANCELLED
109,TR2301030000109,183,8,50,38,2023-01-03 13:30:00,2023-01-03 13:40:00,2023-01-04 21:13:31,2272.5,2363.1,743.93,46,COMPLETED
110,TR2301030000110,199,8,50,2,2023-01-03 07:15:00,2023-01-03 07:37:00,2023-01-04 18:01:08,2295.7,2532.5,949.38,10,COMPLETED
111,TR2301030000111,101,7,45,41,2023-01-03 23:45:00,2023-01-04 00:09:00,2023-01-04 20:28:14,1700.7,1788.6,610.62,59,COMPLETED
112,TR2301030000112,238,5,16,19,2023-01-03 12:15:00,2023-01-03 12:52:00,2023-01-03 21:41:01,675.8,713.0,227.84,22,COMPLETED
113,TR2301030000113,190,2,31,16,2023-01-03 06:00:00,2023-01-03 06:37:00,2023-01-03 14:46:05,911.9,933.9,323.8,43,COMPLETED
114,TR2301030000114,212,5,15,19,2023-01-03 00:45:00,2023-01-03 00:52:00,2023-01-04 16:03:34,2785.4,2893.1,893.24,34,COMPLETED
115,TR2301030000115,64,7,4,26,2023-01-03 17:15:00,2023-01-03 17:23:00,2023-01-04 04:13:29,791.4,799.3,346.01,50,COMPLETED
116,TR2301030000116,64,7,7,39,2023-01-03 12:15:00,2023-01-03 12:24:00,2023-01-04 05:19:51,1094.4,1020.7,385.64,5,COMPLETED
117,TR2301030000117,287,4,21,17,2023-01-03 19:45:00,2023-01-03 20:18:00,2023-01-03 21:00:18,52.1,57.0,22.66,25,COMPLETED
118,TR2301030000118,32,7,3,35,2023-01-03 16:45:00,2023-01-03 17:01:00,2023-01-04 06:12:47,966.3,936.9,313.39,59,COMPLETED
119,TR2301030000119,85,2,9,12,2023-01-03 07:30:00,2023-01-03 08:33:00,2023-01-03 10:44:58,131.9,138.8,56.75,7,COMPLETED
120,TR2301030000120,22,9,39,16,2023-01-03 11:45:00,2023-01-03 12:02:00,2023-01-05 03:28:37,2696.1,2741.5,1209.94,3,COMPLETED
121,TR2301030000121,36,1,4,8,2023-01-03 20:15:00,2023-01-03 21:17:00,2023-01-04 01:51:32,212.6,209.8,78.19,3,COMPLETED
122,TR2301030000122,333,6,41,50,2023-01-03 05:30:00,2023-01-03 05:50:00,2023-01-04 10:04:40,2128.5,2144.8,795.63,16,COMPLETED
123,TR2301030000123,126,7,18,49,2023-01-03 00:15:00,2023-01-03 00:51:00,2023-01-04 00:47:44,1993.7,1929.8,828.71,2,COMPLETED
124,TR2301030000124,299,7,24,8,2023-01-03 15:30:00,2023-01-03 16:12:00,2023-01-04 14:32:43,1618.7,1487.5,377.58,59,COMPLETED
125,TR2301030000125,213,5,22,17,2023-01-03 03:45:00,2023-01-03 04:28:00,2023-01-03 14:31:43,336.8,320.8,116.75,33,COMPLETED
126,TR2301030000126,81,2,19,1,2023-01-03 14:45:00,2023-01-03 15:19:00,2023-01-04 20:47:54,2214.7,2182.1,939.63,37,COMPLETED
127,TR2301030000127,75,4,37,32,2023-01-03 17:30:00,2023-01-03 17:44:00,2023-01-05 04:15:13,2507.8,2685.2,876.87,25,COMPLETED
128,TR2301030000128,234,10,40,32,2023-01-03 19:15:00,2023-01-03 19:39:00,2023-01-04 06:28:11,986.1,1008.3,332.72,38,COMPLETED
129,TR2301030000129,156,6,21,18,2023-01-03 07:15:00,2023-01-03 07:34:00,2023-01-03 11:43:51,159.3,153.8,76.87,32,COMPLETED
130,TR2301030000130,32,7,10,36,2023-01-03 01:00:00,2023-01-03 01:45:00,2023-01-03 20:01:29,1541.4,1610.6,715.31,55,COMPLETED
131,TR2301030000131,299,7,14,8,2023-01-03 23:15:00,2023-01-03 23:32:00,2023-01-05 03:39:14,2305.9,2249.4,1062.35,37,COMPLETED
132,TR2301040000132,64,7,22,21,2023-01-04 00:30:00,2023-01-04 00:55:00,2023-01-04 07:10:30,270.3,254.0,117.35,19,COMPLETED
133,TR2301040000133,326,10,32,47,2023-01-04 16:45:00,2023-01-04 16:45:00,2023-01-05 09:54:18,1263.0,1302.6,661.09,38,COMPLETED
134,TR2301040000134,120,10,5,13,2023-01-04 15:15:00,2023-01-04 16:44:00,2023-01-05 10:32:34,1459.9,1555.2,623.72,53,COMPLETED
135,TR2301040000135,25,1,25,49,2023-01-04 10:30:00,2023-01-04 10:57:00,2023-01-05 03:19:20,1106.6,1110.3,522.19,41,COMPLETED
136,TR2301040000136,317,2,17,18,2023-01-04 11:30:00,2023-01-04 12:47:00,2023-01-04 15:23:38,151.8,155.2,37.41,16,COMPLETED
137,TR2301040000137,149,7,24,36,2023-01-04 19:45:00,2023-01-04 20:12:00,2023-01-06 01:27:06,3089.0,3009.9,1018.35,16,COMPLETED
138,TR2301040000138,63,5,7,2,2023-01-04 05:45:00,2023-01-04 07:11:00,2023-01-04 07:23:10,76.3,86.1,28.82,54,COMPLETED
139,TR2301040000139,102,3,6,48,2023-01-04 01:15:00,2023-01-04 01:48:00,2023-01-05 10:01:36,2359.3,2483.1,1122.47,58,COMPLETED
140,TR2301040000140,299,7,43,20,2023-01-04 17:30:00,2023-01-04 18:54:00,2023-01-06 01:40:13,2362.7,2493.3,1105.2,25,COMPLETED
141,TR2301040000141,271,2,38,11,2023-01-04 15:45:00,2023-01-04 16:24:00,2023-01-06 10:19:14,2565.1,2770.3,1062.94,18,COMPLETED
142,TR2301040000142,117,5,1,23,2023-01-04 17:45:00,2023-01-04 18:27:00,2023-01-06 13:52:10,3017.5,2857.8,988.66,6,COMPLETED
143,TR2301040000143,153,1,2,10,2023-01-04 20:45:00,2023-01-04 21:02:00,2023-01-06 13:08:27,2529.5,2517.4,1231.7,26,COMPLETED
144,TR2301040000144,71,1,12,5,2023-01-04 18:00:00,2023-01-04 18:57:00,2023-01-05 06:42:14,907.6,965.9,302.62,50,COMPLETED
145,TR2301040000145,333,6,29,41,2023-01-04 00:30:00,2023-01-04 00:46:00,2023-01-05 04:34:24,1952.0,2093.9,1013.86,36,COMPLETED
146,TR2301040000146,264,7,5,47,2023-01-04 03:30:00,2023-01-04 03:50:00,2023-01-05 03:17:32,1758.3,1841.9,568.51,17,COMPLETED
147,TR2301040000147,241,6,17,20,2023-01-04 17:45:00,2023-01-04 18:36:00,2023-01-04 23:07:46,203.8,215.4,72.37,40,COMPLETED
148,TR2301040000148,322,10,17,3,2023-01-04 02:15:00,2023-01-04 02:37:00,2023-01-04 11:09:28,791.2,816.8,311.87,44,COMPLETED
149,TR2301040000149,196,8,45,4,2023-01-04 23:30:00,2023-01-04 23:42:00,2023-01-06 11:03:56,2774.5,2994.1,891.27,42,COMPLETED
150,TR2301040000150,308,3,7,41,2023-01-04 09:45:00,2023-01-04 10:03:00,2023-01-04 13:20:17,120.2,124.4,44.67,43,COMPLETED
151,TR2301040000151,254,3,44,7,2023-01-04 22:45:00,2023-01-05 00:21:00,2023-01-05 11:18:50,845.4,839.2,342.28,31,COMPLETED
152,TR2301040000152,101,7,16,38,2023-01-04 18:15:00,2023-01-04 18:39:00,2023-01-06 10:25:30,2654.4,2965.3,1073.71,40,COMPLETED
153,TR2301040000153,272,2,35,9,2023-01-04 22:15:00,2023-01-04 23:07:00,2023-01-06 13:22:16,2991.2,3202.3,1033.14,10,COMPLETED
154,TR2301040000154,34,2,37,41,2023-01-04 15:00:00,2023-01-04 15:13:00,2023-01-05 04:32:33,1074.3,1093.8,383.09,22,COMPLETED
155,TR2301040000155,131,10,45,27,2023-01-04 17:00:00,2023-01-04 18:06:00,2023-01-05 13:02:28,1672.7,1618.0,521.48,51,COMPLETED
156,TR2301040000156,300,9,26,6,2023-01-04 05:15:00,2023-01-04 05:41:00,2023-01-04 15:36:04,841.1,947.4,311.44,17,COMPLETED
157,TR2301040000157,32,7,8,36,2023-01-04 07:45:00,2023-01-04 08:28:00,2023-01-05 12:36:50,2019.9,2071.3,899.26,21,COMPLETED
158,TR2301040000158,255,10,32,6,2023-01-04 07:30:00,2023-01-04 08:03:00,2023-01-05 01:43:53,1500.7,1558.4,705.21,39,COMPLETED
159,TR2301040000159,31,3,43,22,2023-01-04 05:45:00,2023-01-04 06:23:00,2023-01-05 13:09:47,1960.6,2060.8,678.73,3,COMPLETED
160,TR2301040000160,147,8,19,5,2023-01-04 18:15:00,2023-01-04 19:10:00,2023-01-05 04:09:55,814.2,841.6,270.94,50,COMPLETED
161,TR2301040000161,299,7,36,23,2023-01-04 03:15:00,2023-01-04 03:25:00,2023-01-05 13:50:46,2419.8,2332.2,1226.0,9,COMPLETED
162,TR2301040000162,184,5,33,49,2023-01-04 22:45:00,2023-01-04 22:54:00,2023-01-05 20:07:17,1235.7,1246.2,524.18,49,COMPLETED
163,TR2301040000163,229,5,19,39,2023-01-04 05:30:00,2023-01-04 05:42:00,2023-01-05 14:50:41,3086.0,3611.0,1073.59,28,COMPLETED
164,TR2301040000164,302,9,46,32,2023-01-04 20:30:00,2023-01-04 20:41:00,2023-01-06 06:08:24,2281.2,2145.6,805.21,40,COMPLETED
165,TR2301040000165,37,3,38,47,2023-01-04 10:00:00,2023-01-04 11:07:00,2023-01-05 10:24:11,1995.0,2084.9,876.83,15,COMPLETED
166,TR2301040000166,330,10,31,46,2023-01-04 05:15:00,2023-01-04 05:31:00,2023-01-04 14:45:29,679.6,725.1,208.7,51,COMPLETED
167,TR2301040000167,156,6,9,39,2023-01-04 22:15:00,2023-01-04 22:45:00,2023-01-06 20:42:39,2931.4,2891.1,963.99,16,COMPLETED
168,TR2301040000168,39,7,45,50,2023-01-04 03:30:00,2023-01-04 04:29:00,2023-01-05 13:57:37,2811.3,3034.2,1106.15,39,COMPLETED
169,TR2301040000169,169,8,26,25,2023-01-04 21:45:00,2023-01-04 22:48:00,2023-01-05 00:25:43,95.4,90.3,31.16,52,COMPLETED
170,TR2301040000170,279,4,50,14,2023-01-04 11:45:00,2023-01-04 11:48:00,2023-01-05 09:32:01,1496.2,1555.3,589.94,20,COMPLETED
171,TR2301040000171,23,3,15,41,2023-01-04 11:15:00,2023-01-04 11:26:00,2023-01-06 01:23:35,2703.8,2643.2,958.0,2,COMPLETED
172,TR2301040000172,67,8,19,32,2023-01-04 10:30:00,2023-01-04 11:38:00,2023-01-05 02:48:49,1169.5,1276.2,369.45,44,COMPLETED
173,TR2301040000173,229,5,18,35,2023-01-04 03:00:00,2023-01-04 03:28:00,2023-01-05 02:52:44,1424.6,1510.5,480.19,17,COMPLETED
