consignment_item_id,consignment_id,product_id,quantity,item_weight_kg,item_cubic_m,dangerous_goods_class
599,166,513,6,18.42,0.0696,
600,167,73,6,55.74,0.2898,
601,167,430,1,22.83,0.0757,
602,167,514,12,127.68,0.456,
603,168,158,2,8.36,0.0346,
604,169,669,1,26.56,0.12,
605,169,306,24,348.48,1.1472,
606,169,167,2,3.02,0.0118,
607,170,227,1,5.48,0.0285,
608,170,665,2,17.18,0.0848,
609,171,110,4,90.2,0.3196,
610,172,12,2,13.44,0.0472,
611,172,393,12,183.36,0.9864,
612,172,147,6,154.44,0.537,
613,172,369,2,30.28,0.1372,
614,172,565,1,13.21,0.0695,Class 8 Corrosive
615,172,125,1,17.54,0.0835,
616,173,140,2,17.3,0.0834,Class 3 Flammable
617,173,673,24,279.36,1.188,
618,174,558,1,7.82,0.043,
619,175,413,4,66.76,0.3216,
620,175,529,12,170.28,0.9288,
621,176,447,24,237.6,0.8712,
622,176,527,4,19.28,0.0776,
623,176,717,2,20.38,0.0716,
624,176,66,12,230.16,0.9108,
625,176,232,4,50.56,0.1736,Class 8 Corrosive
626,176,157,2,15.7,0.0588,
627,177,216,4,79.24,0.4004,
628,177,555,24,270.72,1.1352,
629,177,344,1,12.83,0.0609,Class 8 Corrosive
630,177,180,24,118.56,0.4584,
631,178,161,1,4.46,0.0146,
632,179,189,6,75.6,0.3438,
633,180,143,6,44.22,0.1524,Class 3 Flammable
634,180,667,2,26.02,0.1094,
635,181,131,1,12.97,0.0474,
636,181,287,6,168.36,0.7026,
637,181,241,1,7.76,0.0307,
638,181,83,2,30.78,0.1342,
639,181,268,1,14.78,0.0593,
640,181,770,1,19.05,0.0787,
641,181,259,2,11.74,0.064,
642,181,308,2,27.44,0.092,
643,181,311,12,74.04,0.2316,
644,181,364,2,31.66,0.0994,
645,182,128,6,134.04,0.4332,
646,182,722,1,17.41,0.0827,
647,182,347,1,27.66,0.0976,
648,182,579,12,81.0,0.3972,Class 8 Corrosive
649,182,479,6,159.24,0.5394,
650,182,694,1,9.87,0.0399,
651,183,502,2,19.38,0.0644,
652,183,582,1,4.79,0.0179,
653,183,602,1,8.08,0.0291,Class 9 Misc
654,184,424,2,29.88,0.1468,
655,184,657,2,27.78,0.1332,
656,184,294,4,16.72,0.054,
657,185,358,1,11.59,0.0442,
658,186,1,4,34.44,0.132,Class 9 Misc
659,186,54,2,25.86,0.094,
660,187,491,12,94.2,0.4272,
661,187,637,2,14.74,0.0656,
662,187,767,2,24.46,0.103,
663,187,379,12,75.12,0.2532,
664,187,596,2,15.84,0.0668,
665,187,670,1,7.33,0.0258,Class 8 Corrosive
666,187,554,24,207.6,0.756,
667,187,739,12,133.56,0.6732,
668,187,766,1,12.68,0.0588,
669,187,514,1,10.64,0.038,
670,188,210,4,59.88,0.3124,
671,188,273,6,84.84,0.3588,Class 3 Flammable
672,188,573,6,59.58,0.1878,
673,188,700,1,36.96,0.167,
674,189,760,4,11.76,0.0464,Class 3 Flammable
675,189,632,6,103.38,0.4842,
676,189,765,12,49.32,0.222,
677,189,430,6,136.98,0.4542,
678,190,738,1,12.64,0.0452,Class 8 Corrosive
679,190,198,6,18.24,0.0666,
680,190,744,1,10.62,0.0512,
681,191,315,6,41.22,0.204,
682,191,343,6,70.62,0.3066,
683,191,622,4,59.44,0.2076,
684,191,656,6,10.68,0.0354,Class 9 Misc
685,192,604,2,16.4,0.0724,
686,192,55,2,13.38,0.0692,
687,192,605,6,64.74,0.3312,
688,192,721,1,11.65,0.0391,
689,192,244,2,24.6,0.113,
690,192,284,1,18.1,0.0783,
691,192,424,4,59.76,0.2936,
692,192,465,2,49.68,0.1634,
693,192,256,4,42.88,0.1416,
694,192,438,2,51.14,0.1876,
695,192,11,6,123.78,0.4494,
696,192,588,12,68.76,0.354,
697,192,466,2,15.98,0.0564,
698,192,571,24,236.88,0.8784,
699,192,547,2,30.36,0.1068,
700,192,720,6,36.24,0.135,
701,192,109,2,13.64,0.047,
702,192,317,1,5.91,0.0229,
703,192,600,4,18.52,0.0696,
704,192,754,2,24.2,0.103,
705,193,568,4,95.08,0.3452,
706,193,171,1,6.61,0.0208,
707,194,397,2,22.54,0.1098,
708,195,314,2,13.38,0.0428,
709,195,489,6,101.64,0.3384,
710,195,271,2,40.78,0.1778,
711,196,66,4,76.72,0.3036,
712,196,613,1,6.07,0.0191,
713,196,549,2,16.26,0.0664,
714,197,537,2,14.3,0.049,
715,198,518,1,2.53,0.0131,
716,199,277,1,14.55,0.0711,Class 8 Corrosive
717,199,718,6,12.72,0.0492,
718,199,389,2,57.04,0.204,
719,199,155,1,20.29,0.0681,
720,199,379,2,12.52,0.0422,
721,199,341,4,64.56,0.2352,
722,200,779,1,22.91,0.0777,
723,200,446,6,59.94,0.1974,
724,201,211,6,92.88,0.4032,
725,202,91,12,72.96,0.234,
726,202,571,1,9.87,0.0366,
727,202,339,2,15.3,0.0608,
728,202,291,6,36.18,0.1974,
729,203,373,1,22.18,0.094,
730,203,215,1,23.15,0.0864,
731,203,352,2,11.34,0.0456,
732,203,504,1,13.13,0.0532,
