scan_event_id,consignment_id,scan_type_id,facility_id,scan_datetime,scanned_by_staff_id,exception_reason_id
171,71045,1,46,2024-08-12 16:00:00,80,
172,71045,2,46,2024-08-12 21:39:16,45,
173,71045,3,46,2024-08-13 00:17:44,100,
174,71045,2,17,2024-08-13 06:54:04,231,
175,71045,6,17,2024-08-13 13:14:32,155,
176,71045,7,17,2024-08-18 16:35:04,198,
177,116628,1,36,2025-07-22 12:00:00,75,
178,116628,2,36,2025-07-22 15:33:54,113,
179,116628,3,36,2025-07-22 19:55:57,120,
180,116628,4,36,2025-07-24 01:18:02,243,
181,116628,5,20,2025-07-25 03:56:20,10,
182,116628,2,20,2025-07-25 11:42:55,249,
183,116628,6,20,2025-07-25 14:48:35,137,
184,116628,7,20,2025-07-27 12:03:52,101,
185,24882,1,9,2023-08-10 10:00:00,65,
186,24882,2,9,2023-08-10 12:50:24,108,
187,24882,3,9,2023-08-10 16:19:29,130,
188,24882,4,9,2023-08-11 10:02:15,2,
189,24882,5,21,2023-08-12 17:01:04,87,
190,24882,2,21,2023-08-13 00:40:49,82,
191,24882,6,21,2023-08-13 07:49:23,69,
192,24882,7,21,2023-08-13 23:46:31,87,
193,30705,1,48,2023-09-25 14:00:00,236,
194,30705,2,48,2023-09-25 17:49:38,199,
195,30705,3,48,2023-09-25 20:52:49,242,
196,30705,2,25,2023-09-26 06:43:34,138,
197,30705,6,25,2023-09-26 11:48:09,2,
198,30705,7,25,2023-09-26 14:55:02,223,
199,46085,1,21,2024-01-27 09:00:00,52,
200,46085,2,21,2024-01-27 12:18:45,50,
201,46085,3,21,2024-01-27 11:02:58,36,
202,46085,2,47,2024-01-27 18:09:46,10,
203,46085,6,47,2024-01-27 21:26:36,116,
204,46085,8,47,2024-01-27 22:41:17,234,6
205,46085,9,47,2024-01-28 02:33:49,243,14
206,46085,7,47,2024-01-31 04:38:24,111,
207,68135,1,33,2024-07-19 10:00:00,236,
208,68135,2,33,2024-07-19 14:08:03,125,
209,68135,3,33,2024-07-19 14:35:09,11,
210,68135,2,35,2024-07-20 00:22:03,123,
211,68135,6,35,2024-07-20 11:04:30,14,
212,68135,7,35,2024-07-21 18:56:53,101,
213,16399,1,4,2023-06-02 08:00:00,88,
214,16399,2,4,2023-06-02 12:12:37,117,
215,16399,3,4,2023-06-02 12:11:02,163,
216,16399,4,4,2023-06-03 00:22:56,146,
217,16399,5,43,2023-06-03 11:50:52,65,
218,16399,2,43,2023-06-03 21:17:59,220,
219,16399,6,43,2023-06-04 08:04:33,102,
220,16399,7,43,2023-06-12 15:29:28,5,
221,4713,1,42,2023-02-21 09:00:00,80,
222,4713,2,42,2023-02-21 14:31:21,241,
223,4713,3,42,2023-02-21 14:49:47,241,
224,4713,4,42,2023-02-22 17:48:14,114,
225,4713,5,47,2023-02-23 23:35:08,83,
226,4713,2,47,2023-02-24 07:59:07,12,
227,4713,6,47,2023-02-24 13:58:29,206,
228,4713,7,47,2023-02-24 14:58:29,84,
229,18393,1,3,2023-06-19 14:00:00,163,
230,18393,2,3,2023-06-19 17:09:39,75,
231,18393,3,3,2023-06-19 18:40:01,193,
232,18393,4,3,2023-06-20 21:06:40,168,
233,18393,5,39,2023-06-22 06:14:45,87,
234,18393,2,39,2023-06-22 15:13:22,220,
235,18393,6,39,2023-06-22 19:53:32,113,
236,18393,7,39,2023-06-25 13:30:29,254,
237,114884,1,24,2025-07-10 16:00:00,126,
238,114884,2,24,2025-07-10 19:53:12,95,
239,114884,3,24,2025-07-10 21:59:55,155,
240,114884,2,26,2025-07-11 01:17:44,201,
241,114884,6,26,2025-07-11 12:50:03,215,
242,114884,7,26,2025-07-17 03:07:29,77,
243,116060,1,29,2025-07-18 12:00:00,242,
244,116060,2,29,2025-07-18 17:51:53,75,
245,116060,3,29,2025-07-18 19:50:21,20,
246,116060,4,29,2025-07-19 13:53:18,145,
247,116060,5,45,2025-07-20 17:09:37,51,
248,116060,2,45,2025-07-20 23:16:24,128,
249,116060,6,45,2025-07-21 03:44:47,10,
250,116060,7,45,2025-07-21 04:44:47,63,
251,142797,1,25,2026-01-23 14:00:00,198,
252,142797,2,25,2026-01-23 18:56:55,50,
253,142797,3,25,2026-01-23 21:53:03,75,
254,142797,2,26,2026-01-24 01:10:50,22,
255,142797,6,26,2026-01-24 11:56:23,185,
256,142797,8,26,2026-01-24 15:22:03,235,1
257,142797,9,26,2026-01-24 14:10:49,62,4
258,142797,7,26,2026-01-25 06:45:35,77,
259,20191,1,25,2023-06-30 13:00:00,222,
260,20191,2,25,2023-06-30 17:08:08,34,
261,20191,3,25,2023-06-30 16:37:36,22,
262,20191,4,25,2023-07-01 15:33:54,117,
263,20191,5,29,2023-07-02 02:29:00,92,
264,20191,2,29,2023-07-02 10:05:36,228,
265,20191,6,29,2023-07-02 14:53:45,21,
266,20191,8,29,2023-07-02 17:59:44,88,1
267,20191,9,29,2023-07-02 18:47:23,121,1
268,20191,7,29,2023-07-02 22:53:59,190,
269,7626,1,11,2023-03-19 12:00:00,93,
270,7626,2,11,2023-03-19 13:47:31,69,
271,7626,3,11,2023-03-19 14:03:16,49,
272,7626,2,12,2023-03-19 20:54:23,34,
273,7626,6,12,2023-03-20 06:07:30,258,
274,7626,7,12,2023-03-20 07:07:30,61,
275,154890,1,37,2026-04-22 10:00:00,64,
276,154890,2,37,2026-04-22 15:39:15,129,
277,154890,3,37,2026-04-22 13:48:47,232,
278,154890,2,36,2026-04-22 18:05:39,144,
279,154890,6,36,2026-04-23 04:21:26,188,
280,154890,7,36,2026-04-23 05:21:26,123,
281,82419,1,21,2024-11-04 08:00:00,174,
282,82419,2,21,2024-11-04 10:53:52,26,
283,82419,3,21,2024-11-04 13:16:52,98,
284,82419,2,20,2024-11-04 16:19:08,109,
285,82419,6,20,2024-11-04 19:23:57,157,
286,82419,7,20,2024-11-05 03:00:11,93,
287,27478,1,31,2023-08-30 11:00:00,132,
288,27478,2,31,2023-08-30 14:43:50,217,
289,27478,3,31,2023-08-30 18:20:55,92,
290,27478,4,31,2023-08-31 09:09:50,156,
291,27478,5,27,2023-09-01 14:23:08,91,
292,27478,2,27,2023-09-01 21:26:36,124,
293,27478,6,27,2023-09-02 04:08:57,151,
294,27478,7,27,2023-09-02 05:08:57,22,
295,88948,1,11,2024-12-13 09:00:00,143,
296,88948,2,11,2024-12-13 13:36:38,30,
297,88948,3,11,2024-12-13 15:33:45,12,
298,88948,4,11,2024-12-14 19:18:59,239,
299,88948,5,26,2024-12-15 22:25:48,119,
300,88948,2,26,2024-12-16 02:09:02,233,
301,88948,6,26,2024-12-16 08:35:59,146,
302,88948,8,26,2024-12-16 09:46:00,80,13
303,88948,9,26,2024-12-16 13:14:11,153,12
304,88948,7,26,2024-12-18 15:53:19,211,
305,45796,1,33,2024-01-25 10:00:00,191,
306,45796,2,33,2024-01-25 11:30:30,198,
307,45796,3,33,2024-01-25 16:09:12,255,
308,45796,2,35,2024-01-25 20:35:33,125,
309,45796,6,35,2024-01-26 09:43:02,75,
310,45796,7,35,2024-01-29 15:50:23,92,
311,161897,1,8,2026-06-09 13:00:00,35,
312,161897,2,8,2026-06-09 14:50:41,232,
313,161897,3,8,2026-06-09 16:24:50,242,
314,161897,4,8,2026-06-10 20:01:39,148,
315,161897,5,50,2026-06-12 01:40:51,101,
316,161897,2,50,2026-06-12 11:08:24,119,
317,161897,6,50,2026-06-12 21:04:53,154,
318,161897,7,50,2026-06-14 15:37:50,51,
319,52190,1,11,2024-03-19 08:00:00,179,
320,52190,2,11,2024-03-19 10:41:07,1,
321,52190,3,11,2024-03-19 10:06:12,151,
322,52190,4,11,2024-03-20 12:10:08,145,
323,52190,5,17,2024-03-21 08:50:31,45,
324,52190,2,17,2024-03-21 12:20:41,181,
325,52190,6,17,2024-03-21 16:06:45,246,
326,52190,7,17,2024-03-21 17:06:45,235,
327,106969,1,26,2025-05-16 14:00:00,52,
328,106969,2,26,2025-05-16 16:56:13,222,
329,106969,3,26,2025-05-16 17:33:58,193,
330,106969,2,27,2025-05-17 01:17:26,258,
331,106969,6,27,2025-05-17 08:55:34,118,
332,106969,7,27,2025-05-18 00:13:39,175,
333,143909,1,32,2026-02-03 14:00:00,172,
334,143909,2,32,2026-02-03 16:52:07,101,
335,143909,3,32,2026-02-03 21:06:04,246,
336,143909,2,50,2026-02-04 00:08:13,176,
337,143909,6,50,2026-02-04 12:37:25,88,
338,143909,7,50,2026-02-09 17:28:59,3,
339,151574,1,36,2026-03-30 12:00:00,190,
340,151574,2,36,2026-03-30 15:07:50,33,
341,151574,3,36,2026-03-30 18:11:48,103,
342,151574,4,36,2026-03-31 09:01:04,9,
343,151574,5,16,2026-04-01 16:24:00,177,
344,151574,2,16,2026-04-01 20:47:23,211,
345,151574,6,16,2026-04-02 00:51:49,62,
346,151574,8,16,2026-04-02 04:56:43,74,2
347,151574,9,16,2026-04-02 03:00:55,126,7
348,151574,7,16,2026-04-02 01:51:49,221,
349,272,1,39,2023-01-09 13:00:00,182,
350,272,2,39,2023-01-09 18:38:16,107,
351,272,3,39,2023-01-09 17:06:38,26,
352,272,4,39,2023-01-10 23:01:43,210,
353,272,5,25,2023-01-11 14:10:30,221,
354,272,2,25,2023-01-11 21:34:33,175,
355,272,6,25,2023-01-12 04:59:48,45,
356,272,7,25,2023-01-12 07:35:18,152,
357,164389,1,24,2026-06-24 14:00:00,9,
358,164389,2,24,2026-06-24 18:23:49,217,
359,164389,3,24,2026-06-24 17:09:11,90,
360,164389,2,26,2026-06-25 01:26:58,204,
361,164389,6,26,2026-06-25 10:56:26,255,
362,164389,7,26,2026-06-30 23:40:59,221,
363,24114,1,16,2023-08-03 14:00:00,195,
364,24114,2,16,2023-08-03 19:44:02,157,
365,24114,3,16,2023-08-03 16:28:18,16,
366,24114,4,16,2023-08-04 22:26:33,74,
367,24114,5,48,2023-08-06 03:12:40,129,
368,24114,2,48,2023-08-06 07:23:40,35,
369,24114,6,48,2023-08-06 20:20:47,49,
370,24114,7,48,2023-08-08 22:13:24,197,
371,43500,1,8,2023-12-23 08:00:00,105,
372,43500,2,8,2023-12-23 09:54:54,178,
373,43500,3,8,2023-12-23 16:19:28,185,
374,43500,2,5,2023-12-23 20:21:36,53,
375,43500,6,5,2023-12-24 03:44:39,240,
376,43500,7,5,2023-12-27 12:43:37,148,
377,25183,1,11,2023-08-11 12:00:00,206,
378,25183,2,11,2023-08-11 14:55:07,211,
379,25183,3,11,2023-08-11 14:25:53,6,
380,25183,4,11,2023-08-12 00:46:47,252,
381,25183,5,30,2023-08-12 14:36:33,87,
382,25183,2,30,2023-08-12 18:20:54,23,
383,25183,6,30,2023-08-13 00:25:32,255,
384,25183,7,30,2023-08-16 22:10:17,190,
385,132131,1,6,2025-11-06 14:00:00,99,
386,132131,2,6,2025-11-06 16:14:47,60,
387,132131,3,6,2025-11-06 16:14:44,55,
388,132131,2,3,2025-11-06 21:47:11,235,
389,132131,6,3,2025-11-07 04:47:01,105,
390,132131,8,3,2025-11-07 09:08:40,199,7
391,132131,9,3,2025-11-07 06:03:19,210,12
392,132131,7,3,2025-11-09 21:17:20,19,
393,1615,1,40,2023-01-23 12:00:00,219,
394,1615,2,40,2023-01-23 15:07:25,105,
395,1615,3,40,2023-01-23 15:43:07,52,
396,1615,2,38,2023-01-24 00:23:06,117,
397,1615,6,38,2023-01-24 12:23:53,76,
398,1615,8,38,2023-01-24 14:29:28,245,9
399,1615,9,38,2023-01-24 17:29:20,48,9
400,1615,10,38,2023-01-27 19:01:19,159,
401,115095,1,29,2025-07-11 16:00:00,14,
402,115095,2,29,2025-07-11 18:44:09,24,
403,115095,3,29,2025-07-11 21:32:45,235,
404,115095,2,50,2025-07-12 02:52:56,66,
405,115095,6,50,2025-07-12 06:34:39,86,
406,115095,7,50,2025-07-13 02:05:12,124,
407,90934,1,29,2025-01-08 13:00:00,141,
408,90934,2,29,2025-01-08 16:21:55,22,
409,90934,3,29,2025-01-08 16:01:18,139,
410,90934,2,49,2025-01-08 23:52:35,200,
411,90934,6,49,2025-01-09 12:10:36,217,
412,90934,7,49,2025-01-09 13:10:36,229,
413,147444,1,21,2026-03-01 11:00:00,213,
414,147444,2,21,2026-03-01 12:56:04,168,
415,147444,3,21,2026-03-01 13:24:56,80,
416,147444,2,46,2026-03-01 17:21:10,199,
417,147444,6,46,2026-03-02 02:09:26,167,
418,147444,7,46,2026-03-03 02:04:56,227,
419,61314,1,8,2024-05-31 07:00:00,115,
420,61314,2,8,2024-05-31 09:01:04,241,
421,61314,3,8,2024-05-31 09:11:56,51,
422,61314,2,4,2024-05-31 16:32:50,41,
423,61314,6,4,2024-06-01 02:57:55,142,
424,61314,7,4,2024-06-05 01:21:02,2,
425,95648,1,39,2025-02-19 15:00:00,74,
426,95648,2,39,2025-02-19 16:59:13,231,
427,95648,3,39,2025-02-19 17:02:17,233,
428,95648,2,40,2025-02-20 00:25:08,53,
429,95648,6,40,2025-02-20 07:18:21,81,
430,95648,7,40,2025-02-20 09:14:45,179,
431,11742,1,16,2023-04-24 10:00:00,127,
432,11742,2,16,2023-04-24 14:11:18,65,
433,11742,3,16,2023-04-24 13:38:40,106,
434,11742,4,16,2023-04-25 06:42:19,226,
435,11742,5,25,2023-04-26 13:31:07,29,
436,11742,2,25,2023-04-26 20:48:21,77,
437,11742,6,25,2023-04-27 01:30:07,100,
438,11742,7,25,2023-04-30 20:01:05,83,
439,98366,1,23,2025-03-12 09:00:00,196,
440,98366,2,23,2025-03-12 11:55:34,44,
441,98366,3,23,2025-03-12 11:53:35,150,
442,98366,4,23,2025-03-13 06:13:32,48,
443,98366,5,49,2025-03-14 07:12:11,55,
444,98366,2,49,2025-03-14 16:24:27,179,
445,98366,6,49,2025-03-15 00:13:03,251,
446,98366,7,49,2025-03-17 04:55:58,144,
447,66567,1,45,2024-07-09 14:00:00,102,
448,66567,2,45,2024-07-09 18:03:33,237,
449,66567,3,45,2024-07-09 21:44:59,202,
450,66567,2,10,2024-07-10 02:30:26,202,
451,66567,6,10,2024-07-10 08:51:50,108,
452,66567,7,10,2024-07-14 15:56:58,108,
453,113531,1,42,2025-07-02 11:00:00,7,
454,113531,2,42,2025-07-02 13:44:12,146,
455,113531,3,42,2025-07-02 13:23:20,179,
456,113531,2,3,2025-07-02 17:19:45,176,
457,113531,6,3,2025-07-02 20:21:43,13,
458,113531,7,3,2025-07-03 10:52:48,118,
459,74862,1,6,2024-09-10 10:00:00,147,
460,74862,2,6,2024-09-10 12:16:17,17,
461,74862,3,6,2024-09-10 15:47:01,109,
462,74862,4,6,2024-09-11 15:26:47,17,
463,74862,5,50,2024-09-12 23:36:01,206,
464,74862,2,50,2024-09-13 05:00:35,74,
465,74862,6,50,2024-09-13 08:37:31,56,
466,74862,7,50,2024-09-13 09:37:31,227,
467,80323,1,28,2024-10-21 08:00:00,87,
468,80323,2,28,2024-10-21 11:14:14,76,
469,80323,3,28,2024-10-21 13:02:44,36,
470,80323,4,28,2024-10-22 06:25:29,29,
471,80323,5,6,2024-10-22 15:40:51,139,
472,80323,2,6,2024-10-22 18:48:54,193,
473,80323,6,6,2024-10-23 05:06:52,169,
474,80323,7,6,2024-10-27 15:53:53,34,
475,72664,1,30,2024-08-23 16:00:00,179,
476,72664,2,30,2024-08-23 21:03:52,200,
477,72664,3,30,2024-08-23 20:25:01,104,
478,72664,4,30,2024-08-24 23:31:22,242,
479,72664,5,2,2024-08-25 14:38:16,220,
480,72664,2,2,2024-08-25 20:27:59,95,
481,72664,6,2,2024-08-26 04:10:25,97,
482,72664,7,2,2024-08-26 05:10:25,178,
483,119723,1,25,2025-08-13 16:00:00,56,
484,119723,2,25,2025-08-13 20:56:36,38,
485,119723,3,25,2025-08-13 20:32:23,34,
486,119723,2,26,2025-08-14 00:11:59,149,
487,119723,6,26,2025-08-14 09:50:53,157,
488,119723,7,26,2025-08-18 02:52:47,68,
489,12842,1,49,2023-05-04 14:00:00,144,
490,12842,2,49,2023-05-04 17:58:53,196,
491,12842,3,49,2023-05-04 19:55:19,144,
492,12842,2,32,2023-05-04 23:16:19,151,
493,12842,6,32,2023-05-05 09:31:19,69,
494,12842,7,32,2023-05-09 00:16:52,253,
495,125235,1,26,2025-09-23 16:00:00,252,
496,125235,2,26,2025-09-23 19:16:51,238,
497,125235,3,26,2025-09-23 23:42:20,156,
498,125235,2,24,2025-09-24 03:18:08,212,
499,125235,6,24,2025-09-24 08:30:04,215,
500,125235,7,24,2025-09-28 15:30:50,250,
501,31087,1,11,2023-09-29 09:00:00,149,
502,31087,2,11,2023-09-29 13:30:54,195,
503,31087,3,11,2023-09-29 11:17:06,28,
504,31087,4,11,2023-09-30 10:10:55,145,
505,31087,5,28,2023-10-01 04:35:14,111,
506,31087,2,28,2023-10-01 12:13:51,132,
507,31087,6,28,2023-10-01 15:22:56,30,
508,31087,7,28,2023-10-04 22:39:30,165,
509,50873,1,8,2024-03-08 07:00:00,257,
510,50873,2,8,2024-03-08 12:55:17,167,
511,50873,3,8,2024-03-08 15:53:01,249,
512,50873,2,2,2024-03-08 20:00:43,213,
513,50873,6,2,2024-03-08 23:22:16,57,
514,50873,7,2,2024-03-09 21:30:53,13,
515,60881,1,43,2024-05-28 16:00:00,77,
516,60881,2,43,2024-05-28 20:47:02,36,
517,60881,3,43,2024-05-28 18:42:45,149,
518,60881,2,15,2024-05-28 22:51:55,215,
519,60881,6,15,2024-05-29 11:57:32,18,
520,60881,7,15,2024-06-02 18:48:10,187,
521,140532,1,33,2025-12-30 07:00:00,126,
522,140532,2,33,2025-12-30 10:50:43,150,
523,140532,3,33,2025-12-30 12:47:56,117,
524,140532,2,35,2025-12-30 15:57:37,209,
525,140532,6,35,2025-12-30 22:31:49,154,
526,140532,7,35,2026-01-04 19:28:15,93,
527,26183,1,7,2023-08-19 16:00:00,100,
528,26183,2,7,2023-08-19 19:04:18,171,
529,26183,3,7,2023-08-19 21:47:15,124,
530,26183,2,3,2023-08-20 01:27:19,257,
531,26183,6,3,2023-08-20 05:27:57,137,
532,26183,7,3,2023-08-20 06:27:57,247,
533,27016,1,49,2023-08-26 07:00:00,153,
534,27016,2,49,2023-08-26 10:39:28,107,
535,27016,3,49,2023-08-26 12:44:05,105,
536,27016,2,32,2023-08-26 21:23:22,118,
537,27016,6,32,2023-08-27 11:21:02,72,
538,27016,8,32,2023-08-27 14:51:33,221,8
539,27016,9,32,2023-08-27 15:47:48,190,13
540,27016,7,32,2023-08-28 12:34:54,2,
541,97949,1,37,2025-03-10 08:00:00,107,
542,97949,2,37,2025-03-10 11:38:53,163,
543,97949,3,37,2025-03-10 10:48:10,1,
544,97949,2,36,2025-03-10 18:49:16,132,
545,97949,6,36,2025-03-11 05:31:33,249,
546,97949,8,36,2025-03-11 07:29:35,177,4
547,97949,9,36,2025-03-11 11:35:56,9,2
548,97949,10,36,2025-03-14 22:28:34,138,
549,117784,1,3,2025-07-30 08:00:00,220,
550,117784,2,3,2025-07-30 13:00:26,88,
551,117784,3,3,2025-07-30 14:05:20,142,
552,117784,2,8,2025-07-30 19:35:24,188,
553,117784,6,8,2025-07-31 04:53:42,5,
554,117784,7,8,2025-07-31 05:53:42,127,
555,131324,1,44,2025-11-02 09:00:00,254,
