invoice_id,invoice_number,customer_id,invoice_date,due_date,net_amount_aud,gst_amount_aud,total_amount_aud,payment_date,invoice_status
43,INV-202308-000002,2,2023-08-31,2023-10-30,1351.91,135.19,1487.1,2023-10-15,PAID
44,INV-202309-000002,2,2023-09-30,2023-11-29,514.07,51.41,565.48,2023-11-23,PAID
45,INV-202310-000002,2,2023-10-31,2023-12-30,1734.4,173.44,1907.84,2023-12-26,PAID
46,INV-202311-000002,2,2023-11-30,2024-01-29,1212.49,121.25,1333.74,2024-01-28,PAID
47,INV-202312-000002,2,2023-12-31,2024-02-29,1565.6,156.56,1722.16,2024-02-14,PAID
48,INV-202401-000002,2,2024-01-31,2024-03-31,620.05,62.01,682.06,2024-03-26,PAID
49,INV-202402-000002,2,2024-02-29,2024-04-29,973.95,97.4,1071.35,2024-04-25,PAID
50,INV-202403-000002,2,2024-03-31,2024-05-30,1720.72,172.07,1892.79,2024-05-28,PAID
51,INV-202404-000002,2,2024-04-30,2024-06-29,1470.4,147.04,1617.44,2024-06-23,PAID
52,INV-202405-000002,2,2024-05-31,2024-07-30,1637.71,163.77,1801.48,2024-09-10,PAID_LATE
53,INV-202406-000002,2,2024-06-30,2024-08-29,379.75,37.98,417.73,2024-08-14,PAID
54,INV-202407-000002,2,2024-07-31,2024-09-29,420.58,42.06,462.64,2024-09-29,PAID
55,INV-202408-000002,2,2024-08-31,2024-10-30,108.39,10.84,119.23,2024-10-24,PAID
56,INV-202409-000002,2,2024-09-30,2024-11-29,134.48,13.45,147.93,2024-11-25,PAID
57,INV-202410-000002,2,2024-10-31,2024-12-30,2671.4,267.14,2938.54,2024-12-21,PAID
58,INV-202411-000002,2,2024-11-30,2025-01-29,1197.7,119.77,1317.47,2025-01-21,PAID
59,INV-202412-000002,2,2024-12-31,2025-03-01,2007.95,200.79,2208.74,2025-02-25,PAID
60,INV-202501-000002,2,2025-01-31,2025-04-01,1428.24,142.82,1571.06,2025-03-20,PAID
61,INV-202502-000002,2,2025-02-28,2025-04-29,1094.34,109.43,1203.77,2025-04-14,PAID
62,INV-202503-000002,2,2025-03-31,2025-05-30,963.26,96.33,1059.59,,OUTSTANDING
63,INV-202504-000002,2,2025-04-30,2025-06-29,454.72,45.47,500.19,2025-07-16,PAID_LATE
64,INV-202505-000002,2,2025-05-31,2025-07-30,1235.71,123.57,1359.28,2025-07-23,PAID
65,INV-202506-000002,2,2025-06-30,2025-08-29,2857.33,285.73,3143.06,2025-08-22,PAID
66,INV-202507-000002,2,2025-07-31,2025-09-29,747.99,74.8,822.79,2025-09-23,PAID
67,INV-202508-000002,2,2025-08-31,2025-10-30,3923.97,392.4,4316.37,2025-10-26,PAID
68,INV-202509-000002,2,2025-09-30,2025-11-29,461.23,46.12,507.35,2025-11-24,PAID
69,INV-202510-000002,2,2025-10-31,2025-12-30,2048.32,204.83,2253.15,2026-01-19,PAID_LATE
70,INV-202511-000002,2,2025-11-30,2026-01-29,1121.82,112.18,1234.0,2026-02-24,PAID_LATE
71,INV-202512-000002,2,2025-12-31,2026-03-01,869.12,86.91,956.03,2026-02-24,PAID
72,INV-202601-000002,2,2026-01-31,2026-04-01,624.92,62.49,687.41,2026-03-16,PAID
73,INV-202602-000002,2,2026-02-28,2026-04-29,808.08,80.81,888.89,2026-04-27,PAID
74,INV-202603-000002,2,2026-03-31,2026-05-30,2673.84,267.38,2941.22,2026-05-25,PAID
75,INV-202604-000002,2,2026-04-30,2026-06-29,1397.22,139.72,1536.94,2026-06-21,PAID
76,INV-202605-000002,2,2026-05-31,2026-07-30,2348.88,234.89,2583.77,2026-08-24,PAID_LATE
77,INV-202606-000002,2,2026-06-30,2026-08-29,2219.35,221.94,2441.29,2026-08-29,PAID
78,INV-202301-000003,3,2023-01-31,2023-02-14,259.2,25.92,285.12,2023-01-28,PAID
79,INV-202302-000003,3,2023-02-28,2023-03-14,973.5,97.35,1070.85,2023-03-27,PAID_LATE
80,INV-202303-000003,3,2023-03-31,2023-04-14,915.27,91.53,1006.8,2023-04-07,PAID
81,INV-202304-000003,3,2023-04-30,2023-05-14,185.51,18.55,204.06,2023-06-03,PAID_LATE
82,INV-202305-000003,3,2023-05-31,2023-06-14,613.35,61.34,674.69,2023-06-07,PAID
83,INV-202306-000003,3,2023-06-30,2023-07-14,1703.45,170.34,1873.79,,OUTSTANDING
84,INV-202307-000003,3,2023-07-31,2023-08-14,464.37,46.44,510.81,2023-08-11,PAID
85,INV-202308-000003,3,2023-08-31,2023-09-14,695.47,69.55,765.02,2023-09-09,PAID
86,INV-202309-000003,3,2023-09-30,2023-10-14,587.52,58.75,646.27,2023-10-08,PAID
87,INV-202310-000003,3,2023-10-31,2023-11-14,1423.65,142.36,1566.01,2023-11-04,PAID
88,INV-202311-000003,3,2023-11-30,2023-12-14,112.51,11.25,123.76,2023-12-24,PAID_LATE
89,INV-202312-000003,3,2023-12-31,2024-01-14,122.24,12.22,134.46,2024-01-08,PAID
90,INV-202402-000003,3,2024-02-29,2024-03-14,142.69,14.27,156.96,,OUTSTANDING
91,INV-202403-000003,3,2024-03-31,2024-04-14,2402.81,240.28,2643.09,2024-03-28,PAID
92,INV-202404-000003,3,2024-04-30,2024-05-14,589.3,58.93,648.23,2024-05-05,PAID
93,INV-202405-000003,3,2024-05-31,2024-06-14,1196.43,119.64,1316.07,2024-07-02,PAID_LATE
94,INV-202406-000003,3,2024-06-30,2024-07-14,1373.27,137.33,1510.6,2024-07-06,PAID
95,INV-202407-000003,3,2024-07-31,2024-08-14,2407.65,240.77,2648.42,2024-08-08,PAID
96,INV-202408-000003,3,2024-08-31,2024-09-14,761.65,76.17,837.82,2024-09-05,PAID
97,INV-202409-000003,3,2024-09-30,2024-10-14,507.82,50.78,558.6,2024-10-13,PAID
98,INV-202411-000003,3,2024-11-30,2024-12-14,919.47,91.95,1011.42,2024-12-10,PAID
99,INV-202412-000003,3,2024-12-31,2025-01-14,566.66,56.67,623.33,2025-01-07,PAID
100,INV-202502-000003,3,2025-02-28,2025-03-14,597.35,59.74,657.09,2025-03-01,PAID
101,INV-202503-000003,3,2025-03-31,2025-04-14,131.69,13.17,144.86,2025-04-05,PAID
102,INV-202504-000003,3,2025-04-30,2025-05-14,111.5,11.15,122.65,2025-05-09,PAID
103,INV-202505-000003,3,2025-05-31,2025-06-14,648.47,64.85,713.32,2025-06-05,PAID
104,INV-202506-000003,3,2025-06-30,2025-07-14,1168.29,116.83,1285.12,2025-07-09,PAID
105,INV-202507-000003,3,2025-07-31,2025-08-14,1300.89,130.09,1430.98,2025-08-11,PAID
106,INV-202508-000003,3,2025-08-31,2025-09-14,583.2,58.32,641.52,2025-09-08,PAID
107,INV-202509-000003,3,2025-09-30,2025-10-14,417.87,41.79,459.66,2025-10-07,PAID
108,INV-202510-000003,3,2025-10-31,2025-11-14,98.28,9.83,108.11,2025-12-02,PAID_LATE
109,INV-202512-000003,3,2025-12-31,2026-01-14,117.43,11.74,129.17,2026-01-03,PAID
110,INV-202601-000003,3,2026-01-31,2026-02-14,1554.42,155.44,1709.86,2026-01-30,PAID
111,INV-202602-000003,3,2026-02-28,2026-03-14,598.99,59.9,658.89,,OUTSTANDING
112,INV-202603-000003,3,2026-03-31,2026-04-14,1069.89,106.99,1176.88,2026-04-09,PAID
113,INV-202605-000003,3,2026-05-31,2026-06-14,1394.89,139.49,1534.38,2026-05-30,PAID
114,INV-202301-000004,4,2023-01-31,2023-03-02,2166.78,216.68,2383.46,2023-03-23,PAID_LATE
115,INV-202302-000004,4,2023-02-28,2023-03-30,2974.48,297.45,3271.93,2023-03-21,PAID
116,INV-202303-000004,4,2023-03-31,2023-04-30,3361.42,336.14,3697.56,2023-04-26,PAID
117,INV-202304-000004,4,2023-04-30,2023-05-30,4086.93,408.69,4495.62,2023-05-26,PAID
118,INV-202305-000004,4,2023-05-31,2023-06-30,4218.92,421.89,4640.81,2023-06-24,PAID
119,INV-202306-000004,4,2023-06-30,2023-07-30,6851.19,685.12,7536.31,2023-07-23,PAID
120,INV-202307-000004,4,2023-07-31,2023-08-30,1602.52,160.25,1762.77,2023-08-25,PAID
121,INV-202308-000004,4,2023-08-31,2023-09-30,5126.35,512.64,5638.99,2023-09-15,PAID
122,INV-202309-000004,4,2023-09-30,2023-10-30,3249.41,324.94,3574.35,2023-10-15,PAID
123,INV-202310-000004,4,2023-10-31,2023-11-30,4531.17,453.12,4984.29,2024-01-31,PAID_LATE
124,INV-202311-000004,4,2023-11-30,2023-12-30,9024.5,902.45,9926.95,2023-12-29,PAID
125,INV-202312-000004,4,2023-12-31,2024-01-30,4182.24,418.22,4600.46,2024-01-22,PAID
126,INV-202401-000004,4,2024-01-31,2024-03-01,2710.47,271.05,2981.52,2024-02-15,PAID
127,INV-202402-000004,4,2024-02-29,2024-03-30,4617.41,461.74,5079.15,2024-03-04,PAID
128,INV-202403-000004,4,2024-03-31,2024-04-30,2684.7,268.47,2953.17,2024-04-15,PAID
129,INV-202404-000004,4,2024-04-30,2024-05-30,3822.88,382.29,4205.17,2024-05-22,PAID
130,INV-202405-000004,4,2024-05-31,2024-06-30,1308.24,130.82,1439.06,2024-06-19,PAID
131,INV-202406-000004,4,2024-06-30,2024-07-30,4409.24,440.92,4850.16,2024-07-16,PAID
132,INV-202407-000004,4,2024-07-31,2024-08-30,4099.62,409.96,4509.58,2024-08-23,PAID
133,INV-202408-000004,4,2024-08-31,2024-09-30,3589.78,358.98,3948.76,,OUTSTANDING
134,INV-202409-000004,4,2024-09-30,2024-10-30,4773.84,477.38,5251.22,2024-10-19,PAID
135,INV-202410-000004,4,2024-10-31,2024-11-30,4259.12,425.91,4685.03,2024-11-29,PAID
136,INV-202411-000004,4,2024-11-30,2024-12-30,5524.51,552.45,6076.96,2024-12-25,PAID
137,INV-202412-000004,4,2024-12-31,2025-01-30,6315.52,631.55,6947.07,2025-01-15,PAID
138,INV-202501-000004,4,2025-01-31,2025-03-02,4079.34,407.93,4487.27,2025-02-25,PAID
139,INV-202502-000004,4,2025-02-28,2025-03-30,3856.96,385.7,4242.66,2025-03-26,PAID
140,INV-202503-000004,4,2025-03-31,2025-04-30,4734.41,473.44,5207.85,2025-04-22,PAID
141,INV-202504-000004,4,2025-04-30,2025-05-30,3588.85,358.88,3947.73,2025-05-26,PAID
142,INV-202505-000004,4,2025-05-31,2025-06-30,8399.95,840.0,9239.95,2025-06-29,PAID
143,INV-202506-000004,4,2025-06-30,2025-07-30,3665.43,366.54,4031.97,2025-07-28,PAID
144,INV-202507-000004,4,2025-07-31,2025-08-30,7108.06,710.81,7818.87,2025-08-20,PAID
145,INV-202508-000004,4,2025-08-31,2025-09-30,2667.8,266.78,2934.58,2025-09-24,PAID
146,INV-202509-000004,4,2025-09-30,2025-10-30,3738.44,373.84,4112.28,2025-10-24,PAID
147,INV-202510-000004,4,2025-10-31,2025-11-30,8408.24,840.82,9249.06,2025-11-23,PAID
148,INV-202511-000004,4,2025-11-30,2025-12-30,7989.63,798.96,8788.59,2026-01-04,PAID_LATE
149,INV-202512-000004,4,2025-12-31,2026-01-30,6560.32,656.03,7216.35,2026-01-28,PAID
150,INV-202601-000004,4,2026-01-31,2026-03-02,2155.64,215.56,2371.2,2026-02-22,PAID
151,INV-202602-000004,4,2026-02-28,2026-03-30,2522.14,252.21,2774.35,,OUTSTANDING
152,INV-202603-000004,4,2026-03-31,2026-04-30,1641.5,164.15,1805.65,2026-04-24,PAID
153,INV-202604-000004,4,2026-04-30,2026-05-30,5443.6,544.36,5987.96,2026-05-23,PAID
154,INV-202605-000004,4,2026-05-31,2026-06-30,4890.84,489.08,5379.92,2026-06-26,PAID
155,INV-202606-000004,4,2026-06-30,2026-07-30,5305.74,530.57,5836.31,2026-07-30,PAID
156,INV-202301-000005,5,2023-01-31,2023-03-17,1699.91,169.99,1869.9,2023-03-12,PAID
157,INV-202302-000005,5,2023-02-28,2023-04-14,1452.65,145.27,1597.92,2023-04-06,PAID
158,INV-202303-000005,5,2023-03-31,2023-05-15,859.12,85.91,945.03,2023-05-09,PAID
159,INV-202304-000005,5,2023-04-30,2023-06-14,666.84,66.68,733.52,2023-06-14,PAID
160,INV-202305-000005,5,2023-05-31,2023-07-15,568.66,56.87,625.53,,OUTSTANDING
161,INV-202306-000005,5,2023-06-30,2023-08-14,2327.56,232.76,2560.32,2023-08-06,PAID
162,INV-202307-000005,5,2023-07-31,2023-09-14,1664.15,166.41,1830.56,2023-09-12,PAID
163,INV-202308-000005,5,2023-08-31,2023-10-15,2011.81,201.18,2212.99,2023-10-12,PAID
164,INV-202309-000005,5,2023-09-30,2023-11-14,298.41,29.84,328.25,2023-11-10,PAID
165,INV-202310-000005,5,2023-10-31,2023-12-15,1814.32,181.43,1995.75,2023-12-07,PAID
166,INV-202311-000005,5,2023-11-30,2024-01-14,4675.96,467.6,5143.56,2024-01-13,PAID
167,INV-202312-000005,5,2023-12-31,2024-02-14,3273.15,327.32,3600.47,2024-01-15,PAID
168,INV-202401-000005,5,2024-01-31,2024-03-16,2188.76,218.88,2407.64,2024-03-13,PAID
169,INV-202402-000005,5,2024-02-29,2024-04-14,2560.68,256.07,2816.75,2024-04-11,PAID
170,INV-202403-000005,5,2024-03-31,2024-05-15,5063.55,506.36,5569.91,2024-04-28,PAID
171,INV-202404-000005,5,2024-04-30,2024-06-14,1186.32,118.63,1304.95,2024-06-10,PAID
172,INV-202405-000005,5,2024-05-31,2024-07-15,3885.98,388.6,4274.58,2024-07-10,PAID
173,INV-202406-000005,5,2024-06-30,2024-08-14,2576.81,257.68,2834.49,2024-08-09,PAID
174,INV-202407-000005,5,2024-07-31,2024-09-14,3012.97,301.3,3314.27,2024-09-10,PAID
175,INV-202408-000005,5,2024-08-31,2024-10-15,1842.89,184.29,2027.18,2024-10-13,PAID
176,INV-202409-000005,5,2024-09-30,2024-11-14,1532.36,153.24,1685.6,2024-11-17,PAID_LATE
177,INV-202410-000005,5,2024-10-31,2024-12-15,876.34,87.63,963.97,2024-12-10,PAID
178,INV-202411-000005,5,2024-11-30,2025-01-14,3235.19,323.52,3558.71,2024-12-23,PAID
179,INV-202412-000005,5,2024-12-31,2025-02-14,1633.32,163.33,1796.65,2025-02-12,PAID
180,INV-202501-000005,5,2025-01-31,2025-03-17,680.73,68.07,748.8,2025-03-08,PAID
181,INV-202502-000005,5,2025-02-28,2025-04-14,3171.84,317.18,3489.02,2025-04-11,PAID
182,INV-202503-000005,5,2025-03-31,2025-05-15,1049.2,104.92,1154.12,2025-05-14,PAID
183,INV-202504-000005,5,2025-04-30,2025-06-14,5023.0,502.3,5525.3,2025-06-03,PAID
184,INV-202505-000005,5,2025-05-31,2025-07-15,909.1,90.91,1000.01,2025-06-26,PAID
185,INV-202506-000005,5,2025-06-30,2025-08-14,2369.86,236.99,2606.85,2025-08-11,PAID
186,INV-202507-000005,5,2025-07-31,2025-09-14,3572.33,357.23,3929.56,2025-09-01,PAID
187,INV-202508-000005,5,2025-08-31,2025-10-15,1991.62,199.16,2190.78,2025-10-03,PAID
188,INV-202509-000005,5,2025-09-30,2025-11-14,1467.42,146.74,1614.16,2025-11-07,PAID
189,INV-202510-000005,5,2025-10-31,2025-12-15,1120.81,112.08,1232.89,2025-12-11,PAID
190,INV-202511-000005,5,2025-11-30,2026-01-14,2287.16,228.72,2515.88,2026-01-11,PAID
191,INV-202512-000005,5,2025-12-31,2026-02-14,1716.57,171.66,1888.23,2026-02-08,PAID
192,INV-202601-000005,5,2026-01-31,2026-03-17,816.02,81.6,897.62,2026-03-14,PAID
193,INV-202602-000005,5,2026-02-28,2026-04-14,1088.85,108.88,1197.73,2026-03-19,PAID
194,INV-202603-000005,5,2026-03-31,2026-05-15,1150.99,115.1,1266.09,2026-05-13,PAID
195,INV-202604-000005,5,2026-04-30,2026-06-14,1844.66,184.47,2029.13,2026-06-13,PAID
196,INV-202605-000005,5,2026-05-31,2026-07-15,2874.52,287.45,3161.97,2026-07-13,PAID
197,INV-202606-000005,5,2026-06-30,2026-08-14,2620.58,262.06,2882.64,2026-07-28,PAID
198,INV-202302-000006,6,2023-02-28,2023-04-29,572.85,57.29,630.14,2023-04-24,PAID
199,INV-202303-000006,6,2023-03-31,2023-05-30,2203.09,220.31,2423.4,2023-05-27,PAID
200,INV-202304-000006,6,2023-04-30,2023-06-29,126.15,12.62,138.77,2023-06-27,PAID
201,INV-202305-000006,6,2023-05-31,2023-07-30,1982.81,198.28,2181.09,2023-07-25,PAID
202,INV-202306-000006,6,2023-06-30,2023-08-29,2906.17,290.62,3196.79,2023-08-11,PAID
203,INV-202308-000006,6,2023-08-31,2023-10-30,1832.03,183.2,2015.23,2023-10-13,PAID
204,INV-202309-000006,6,2023-09-30,2023-11-29,678.7,67.87,746.57,2023-11-26,PAID
205,INV-202310-000006,6,2023-10-31,2023-12-30,2015.33,201.53,2216.86,2023-12-21,PAID
206,INV-202311-000006,6,2023-11-30,2024-01-29,1594.1,159.41,1753.51,2024-01-25,PAID
207,INV-202312-000006,6,2023-12-31,2024-02-29,1008.42,100.84,1109.26,2024-02-15,PAID
208,INV-202401-000006,6,2024-01-31,2024-03-31,272.81,27.28,300.09,2024-05-17,PAID_LATE
209,INV-202402-000006,6,2024-02-29,2024-04-29,1457.46,145.75,1603.21,2024-04-24,PAID
210,INV-202403-000006,6,2024-03-31,2024-05-30,581.56,58.16,639.72,2024-05-26,PAID
211,INV-202404-000006,6,2024-04-30,2024-06-29,1628.75,162.88,1791.63,2024-07-09,PAID_LATE
212,INV-202405-000006,6,2024-05-31,2024-07-30,684.73,68.47,753.2,2024-08-18,PAID_LATE
213,INV-202406-000006,6,2024-06-30,2024-08-29,1817.09,181.71,1998.8,2024-08-21,PAID
214,INV-202407-000006,6,2024-07-31,2024-09-29,520.78,52.08,572.86,2024-09-22,PAID
215,INV-202408-000006,6,2024-08-31,2024-10-30,947.95,94.8,1042.75,2024-10-29,PAID
216,INV-202409-000006,6,2024-09-30,2024-11-29,1340.47,134.05,1474.52,2024-11-18,PAID
217,INV-202410-000006,6,2024-10-31,2024-12-30,1234.69,123.47,1358.16,2024-12-28,PAID
218,INV-202411-000006,6,2024-11-30,2025-01-29,2216.92,221.69,2438.61,2025-01-23,PAID
219,INV-202412-000006,6,2024-12-31,2025-03-01,547.35,54.74,602.09,2025-02-20,PAID
220,INV-202501-000006,6,2025-01-31,2025-04-01,1589.25,158.93,1748.18,2025-03-31,PAID
221,INV-202502-000006,6,2025-02-28,2025-04-29,2323.7,232.37,2556.07,2025-06-04,PAID_LATE
222,INV-202503-000006,6,2025-03-31,2025-05-30,2170.64,217.06,2387.7,2025-06-01,PAID_LATE
223,INV-202504-000006,6,2025-04-30,2025-06-29,1181.2,118.12,1299.32,2025-06-21,PAID
224,INV-202505-000006,6,2025-05-31,2025-07-30,431.13,43.11,474.24,2025-07-25,PAID
225,INV-202506-000006,6,2025-06-30,2025-08-29,1547.21,154.72,1701.93,,OUTSTANDING
226,INV-202507-000006,6,2025-07-31,2025-09-29,340.75,34.08,374.83,2025-09-15,PAID
227,INV-202508-000006,6,2025-08-31,2025-10-30,1053.46,105.35,1158.81,2025-10-19,PAID
228,INV-202509-000006,6,2025-09-30,2025-11-29,727.16,72.72,799.88,2025-11-21,PAID
229,INV-202510-000006,6,2025-10-31,2025-12-30,543.26,54.33,597.59,2025-12-24,PAID
230,INV-202511-000006,6,2025-11-30,2026-01-29,2001.73,200.17,2201.9,2026-01-19,PAID
231,INV-202512-000006,6,2025-12-31,2026-03-01,1484.98,148.5,1633.48,2026-02-27,PAID
232,INV-202601-000006,6,2026-01-31,2026-04-01,2158.45,215.84,2374.29,2026-03-13,PAID
233,INV-202602-000006,6,2026-02-28,2026-04-29,701.29,70.13,771.42,2026-04-19,PAID
234,INV-202603-000006,6,2026-03-31,2026-05-30,1446.49,144.65,1591.14,2026-05-26,PAID
235,INV-202604-000006,6,2026-04-30,2026-06-29,1946.05,194.61,2140.66,2026-06-19,PAID
236,INV-202605-000006,6,2026-05-31,2026-07-30,2316.37,231.64,2548.01,2026-07-28,PAID
237,INV-202606-000006,6,2026-06-30,2026-08-29,1949.36,194.94,2144.3,2026-09-17,PAID_LATE
238,INV-202301-000007,7,2023-01-31,2023-04-01,354.51,35.45,389.96,2023-03-31,PAID
239,INV-202302-000007,7,2023-02-28,2023-04-29,355.48,35.55,391.03,2023-04-24,PAID
240,INV-202303-000007,7,2023-03-31,2023-05-30,1003.43,100.34,1103.77,2023-05-28,PAID
241,INV-202304-000007,7,2023-04-30,2023-06-29,627.93,62.79,690.72,2023-06-19,PAID
242,INV-202305-000007,7,2023-05-31,2023-07-30,2008.39,200.84,2209.23,2023-08-15,PAID_LATE
243,INV-202306-000007,7,2023-06-30,2023-08-29,1955.35,195.54,2150.89,2023-08-16,PAID
244,INV-202307-000007,7,2023-07-31,2023-09-29,1942.87,194.29,2137.16,2023-09-25,PAID
245,INV-202308-000007,7,2023-08-31,2023-10-30,131.14,13.11,144.25,2023-11-11,PAID_LATE
246,INV-202309-000007,7,2023-09-30,2023-11-29,659.99,66.0,725.99,2023-11-21,PAID
247,INV-202311-000007,7,2023-11-30,2024-01-29,1852.71,185.27,2037.98,2024-01-25,PAID
248,INV-202312-000007,7,2023-12-31,2024-02-29,856.2,85.62,941.82,2024-02-25,PAID
249,INV-202401-000007,7,2024-01-31,2024-03-31,766.75,76.67,843.42,2024-03-28,PAID
250,INV-202402-000007,7,2024-02-29,2024-04-29,1974.27,197.43,2171.7,2024-06-08,PAID_LATE
251,INV-202403-000007,7,2024-03-31,2024-05-30,1921.67,192.17,2113.84,2024-05-15,PAID
252,INV-202404-000007,7,2024-04-30,2024-06-29,453.05,45.31,498.36,2024-06-16,PAID
253,INV-202405-000007,7,2024-05-31,2024-07-30,250.78,25.08,275.86,2024-07-27,PAID
254,INV-202406-000007,7,2024-06-30,2024-08-29,623.63,62.36,685.99,2024-08-20,PAID
255,INV-202407-000007,7,2024-07-31,2024-09-29,502.24,50.22,552.46,2024-09-24,PAID
256,INV-202408-000007,7,2024-08-31,2024-10-30,1059.78,105.98,1165.76,2024-10-21,PAID
257,INV-202409-000007,7,2024-09-30,2024-11-29,811.37,81.14,892.51,2024-11-12,PAID
258,INV-202410-000007,7,2024-10-31,2024-12-30,1565.15,156.52,1721.67,2024-12-22,PAID
259,INV-202411-000007,7,2024-11-30,2025-01-29,1838.71,183.87,2022.58,2025-01-18,PAID
260,INV-202412-000007,7,2024-12-31,2025-03-01,3565.42,356.54,3921.96,2025-03-09,PAID_LATE
261,INV-202501-000007,7,2025-01-31,2025-04-01,1217.47,121.75,1339.22,2025-03-13,PAID
262,INV-202502-000007,7,2025-02-28,2025-04-29,1224.06,122.41,1346.47,2025-04-23,PAID
263,INV-202503-000007,7,2025-03-31,2025-05-30,687.17,68.72,755.89,2025-05-20,PAID
264,INV-202504-000007,7,2025-04-30,2025-06-29,2049.78,204.98,2254.76,2025-06-23,PAID
265,INV-202505-000007,7,2025-05-31,2025-07-30,379.98,38.0,417.98,2025-07-26,PAID
266,INV-202506-000007,7,2025-06-30,2025-08-29,1036.49,103.65,1140.14,2025-08-22,PAID
267,INV-202507-000007,7,2025-07-31,2025-09-29,923.89,92.39,1016.28,2025-10-16,PAID_LATE
268,INV-202508-000007,7,2025-08-31,2025-10-30,700.02,70.0,770.02,2025-10-24,PAID
