inventory_snapshot_id,snapshot_date,facility_id,product_category,pallets_on_hand,pallets_capacity,pallets_inbound,pallets_outbound,pallets_damaged
176,2023-01-01,29,Chilled Food,149,125,21,17,3
177,2023-01-01,29,Auto Parts,107,125,7,13,0
178,2023-01-01,29,Ambient Grocery,45,125,0,8,0
179,2023-01-01,29,Industrial Consumables,160,125,10,12,0
180,2023-01-01,29,Frozen Food,87,125,5,10,0
181,2023-01-01,30,Pharmaceuticals,119,125,6,19,0
182,2023-01-01,30,Electronics,219,125,12,18,0
183,2023-01-01,30,Building Materials,254,125,19,42,0
184,2023-01-01,30,Homewares,173,125,16,14,0
185,2023-01-01,30,Beverages,100,125,13,12,1
186,2023-01-01,30,Apparel,62,125,11,18,0
187,2023-01-01,30,Mining Consumables,163,125,11,8,0
188,2023-01-01,30,Chilled Food,76,125,8,5,0
189,2023-01-01,30,Auto Parts,315,125,31,35,0
190,2023-01-01,30,Ambient Grocery,55,125,10,0,0
191,2023-01-01,30,Industrial Consumables,249,125,19,22,1
192,2023-01-01,30,Frozen Food,297,125,39,33,2
193,2023-01-01,31,Pharmaceuticals,134,125,11,9,0
194,2023-01-01,31,Electronics,232,125,25,22,0
195,2023-01-01,31,Building Materials,197,125,30,23,3
196,2023-01-01,31,Homewares,258,125,20,30,1
197,2023-01-01,31,Beverages,140,125,19,18,2
198,2023-01-01,31,Apparel,330,125,34,36,1
199,2023-01-01,31,Mining Consumables,197,125,11,20,0
200,2023-01-01,31,Chilled Food,77,125,12,9,0
201,2023-01-01,31,Auto Parts,226,125,23,32,0
202,2023-01-01,31,Ambient Grocery,268,125,26,26,0
203,2023-01-01,31,Industrial Consumables,104,125,8,10,0
204,2023-01-01,31,Frozen Food,117,125,14,14,0
205,2023-01-01,32,Pharmaceuticals,210,125,7,9,1
206,2023-01-01,32,Electronics,253,125,25,14,1
207,2023-01-01,32,Building Materials,175,125,16,7,1
208,2023-01-01,32,Homewares,237,125,36,24,2
209,2023-01-01,32,Beverages,325,125,38,24,3
210,2023-01-01,32,Apparel,226,125,11,27,0
211,2023-01-01,32,Mining Consumables,290,125,27,32,1
212,2023-01-01,32,Chilled Food,220,125,20,23,3
213,2023-01-01,32,Auto Parts,134,125,13,11,1
214,2023-01-01,32,Ambient Grocery,317,125,43,28,1
215,2023-01-01,32,Industrial Consumables,68,125,7,11,1
216,2023-01-01,32,Frozen Food,165,125,7,14,0
217,2023-01-01,33,Pharmaceuticals,183,500,25,15,0
218,2023-01-01,33,Electronics,98,500,5,13,1
219,2023-01-01,33,Building Materials,271,500,24,29,2
220,2023-01-01,33,Homewares,334,500,29,36,1
221,2023-01-01,33,Beverages,117,500,19,8,0
222,2023-01-01,33,Apparel,238,500,29,35,2
223,2023-01-01,33,Mining Consumables,340,500,33,48,2
224,2023-01-01,33,Chilled Food,279,500,32,35,0
225,2023-01-01,33,Auto Parts,302,500,31,40,2
226,2023-01-01,33,Ambient Grocery,50,500,5,4,0
227,2023-01-01,33,Industrial Consumables,210,500,33,12,0
228,2023-01-01,33,Frozen Food,237,500,14,31,1
229,2023-01-01,36,Pharmaceuticals,174,250,23,13,0
230,2023-01-01,36,Electronics,151,250,22,28,0
231,2023-01-01,36,Building Materials,177,250,18,13,1
232,2023-01-01,36,Homewares,265,250,20,26,0
233,2023-01-01,36,Beverages,273,250,16,24,0
234,2023-01-01,36,Apparel,121,250,18,6,0
235,2023-01-01,36,Mining Consumables,39,250,0,15,0
236,2023-01-01,36,Chilled Food,309,250,32,30,0
237,2023-01-01,36,Auto Parts,84,250,21,0,0
238,2023-01-01,36,Ambient Grocery,186,250,18,23,0
239,2023-01-01,36,Industrial Consumables,295,250,26,25,1
240,2023-01-01,36,Frozen Food,142,250,10,16,2
241,2023-01-01,38,Pharmaceuticals,127,500,13,14,0
242,2023-01-01,38,Electronics,87,500,4,1,0
243,2023-01-01,38,Building Materials,200,500,7,17,0
244,2023-01-01,38,Homewares,210,500,25,19,1
245,2023-01-01,38,Beverages,263,500,22,27,0
246,2023-01-01,38,Apparel,86,500,3,20,0
247,2023-01-01,38,Mining Consumables,360,500,20,50,4
248,2023-01-01,38,Chilled Food,77,500,9,4,0
249,2023-01-01,38,Auto Parts,153,500,12,22,2
250,2023-01-01,38,Ambient Grocery,288,500,26,29,2
251,2023-01-01,38,Industrial Consumables,234,500,22,35,2
252,2023-01-01,38,Frozen Food,136,500,12,9,1
253,2023-01-01,39,Pharmaceuticals,299,250,24,37,1
254,2023-01-01,39,Electronics,70,250,0,3,0
255,2023-01-01,39,Building Materials,217,250,18,19,3
256,2023-01-01,39,Homewares,145,250,19,19,0
257,2023-01-01,39,Beverages,232,250,27,28,2
258,2023-01-01,39,Apparel,181,250,19,19,1
259,2023-01-01,39,Mining Consumables,129,250,0,7,0
260,2023-01-01,39,Chilled Food,128,250,18,9,0
261,2023-01-01,39,Auto Parts,315,250,30,30,2
262,2023-01-01,39,Ambient Grocery,82,250,4,8,0
263,2023-01-01,39,Industrial Consumables,319,250,29,34,1
264,2023-01-01,39,Frozen Food,151,250,6,17,1
265,2023-01-01,41,Pharmaceuticals,167,250,18,19,0
266,2023-01-01,41,Electronics,103,250,0,11,0
267,2023-01-01,41,Building Materials,311,250,34,26,1
268,2023-01-01,41,Homewares,253,250,26,23,1
269,2023-01-01,41,Beverages,278,250,29,31,1
270,2023-01-01,41,Apparel,135,250,9,24,0
271,2023-01-01,41,Mining Consumables,263,250,40,27,0
272,2023-01-01,41,Chilled Food,229,250,30,17,0
273,2023-01-01,41,Auto Parts,201,250,25,30,2
274,2023-01-01,41,Ambient Grocery,196,250,9,28,0
275,2023-01-01,41,Industrial Consumables,257,250,31,31,2
276,2023-01-01,41,Frozen Food,327,250,34,28,3
277,2023-01-01,42,Pharmaceuticals,284,66,24,24,2
278,2023-01-01,42,Electronics,206,66,17,18,0
279,2023-01-01,42,Building Materials,270,66,28,35,1
280,2023-01-01,42,Homewares,248,66,29,23,2
281,2023-01-01,42,Beverages,273,66,31,38,1
282,2023-01-01,42,Apparel,337,66,46,41,2
283,2023-01-01,42,Mining Consumables,278,66,30,40,2
284,2023-01-01,42,Chilled Food,250,66,30,17,0
285,2023-01-01,42,Auto Parts,87,66,5,3,0
286,2023-01-01,42,Ambient Grocery,126,66,14,15,1
287,2023-01-01,42,Industrial Consumables,199,66,11,27,0
288,2023-01-01,42,Frozen Food,131,66,9,21,1
289,2023-01-01,44,Pharmaceuticals,130,66,6,8,1
290,2023-01-01,44,Electronics,75,66,7,8,0
291,2023-01-01,44,Building Materials,83,66,3,9,0
292,2023-01-01,44,Homewares,218,66,33,15,0
293,2023-01-01,44,Beverages,207,66,18,28,0
294,2023-01-01,44,Apparel,92,66,9,10,0
295,2023-01-01,44,Mining Consumables,23,66,0,5,0
296,2023-01-01,44,Chilled Food,198,66,26,22,1
297,2023-01-01,44,Auto Parts,181,66,10,23,3
298,2023-01-01,44,Ambient Grocery,171,66,14,17,1
299,2023-01-01,44,Industrial Consumables,101,66,0,0,0
300,2023-01-01,44,Frozen Food,263,66,24,22,0
301,2023-01-01,46,Pharmaceuticals,270,250,19,37,1
302,2023-01-01,46,Electronics,234,250,20,24,1
303,2023-01-01,46,Building Materials,324,250,37,25,2
304,2023-01-01,46,Homewares,196,250,21,23,1
305,2023-01-01,46,Beverages,286,250,29,31,1
306,2023-01-01,46,Apparel,90,250,7,22,0
307,2023-01-01,46,Mining Consumables,68,250,1,2,0
308,2023-01-01,46,Chilled Food,322,250,38,21,0
309,2023-01-01,46,Auto Parts,231,250,22,31,0
310,2023-01-01,46,Ambient Grocery,69,250,7,0,0
311,2023-01-01,46,Industrial Consumables,288,250,21,45,0
312,2023-01-01,46,Frozen Food,240,250,28,20,1
313,2023-01-01,50,Pharmaceuticals,344,125,35,51,2
314,2023-01-01,50,Electronics,100,125,9,16,1
315,2023-01-01,50,Building Materials,357,125,40,31,1
316,2023-01-01,50,Homewares,189,125,28,27,2
317,2023-01-01,50,Beverages,56,125,11,8,1
318,2023-01-01,50,Apparel,104,125,9,8,1
319,2023-01-01,50,Mining Consumables,64,125,11,8,1
320,2023-01-01,50,Chilled Food,110,125,7,13,0
321,2023-01-01,50,Auto Parts,94,125,3,9,0
322,2023-01-01,50,Ambient Grocery,227,125,19,19,0
323,2023-01-01,50,Industrial Consumables,345,125,35,42,0
324,2023-01-01,50,Frozen Food,146,125,10,14,0
325,2023-01-08,1,Pharmaceuticals,302,125,35,34,1
326,2023-01-08,1,Electronics,329,125,35,35,1
327,2023-01-08,1,Building Materials,103,125,15,14,0
328,2023-01-08,1,Homewares,309,125,36,33,1
329,2023-01-08,1,Beverages,261,125,15,19,0
330,2023-01-08,1,Apparel,114,125,11,21,0
331,2023-01-08,1,Mining Consumables,317,125,29,33,0
332,2023-01-08,1,Chilled Food,98,125,8,17,0
333,2023-01-08,1,Auto Parts,75,125,0,0,0
334,2023-01-08,1,Ambient Grocery,341,125,30,40,1
335,2023-01-08,1,Industrial Consumables,209,125,9,20,3
336,2023-01-08,1,Frozen Food,333,125,28,44,1
337,2023-01-08,2,Pharmaceuticals,100,125,9,13,0
338,2023-01-08,2,Electronics,179,125,8,11,1
339,2023-01-08,2,Building Materials,275,125,44,27,0
340,2023-01-08,2,Homewares,109,125,8,7,0
341,2023-01-08,2,Beverages,147,125,8,17,1
342,2023-01-08,2,Apparel,275,125,37,24,0
343,2023-01-08,2,Mining Consumables,317,125,32,31,1
344,2023-01-08,2,Chilled Food,350,125,25,39,1
345,2023-01-08,2,Auto Parts,77,125,7,13,0
346,2023-01-08,2,Ambient Grocery,288,125,27,34,1
347,2023-01-08,2,Industrial Consumables,162,125,18,20,2
348,2023-01-08,2,Frozen Food,291,125,17,32,0
349,2023-01-08,3,Pharmaceuticals,138,250,6,19,0
350,2023-01-08,3,Electronics,280,250,29,27,0
351,2023-01-08,3,Building Materials,99,250,8,10,2
352,2023-01-08,3,Homewares,105,250,14,18,0
353,2023-01-08,3,Beverages,148,250,12,13,0
354,2023-01-08,3,Apparel,75,250,14,1,0
355,2023-01-08,3,Mining Consumables,219,250,26,26,0
356,2023-01-08,3,Chilled Food,284,250,26,25,0
357,2023-01-08,3,Auto Parts,265,250,16,22,3
358,2023-01-08,3,Ambient Grocery,78,250,2,7,0
359,2023-01-08,3,Industrial Consumables,199,250,28,6,0
360,2023-01-08,3,Frozen Food,242,250,26,27,0
361,2023-01-08,8,Pharmaceuticals,264,66,23,30,0
362,2023-01-08,8,Electronics,311,66,34,28,0
363,2023-01-08,8,Building Materials,213,66,30,14,1
364,2023-01-08,8,Homewares,139,66,10,12,1
365,2023-01-08,8,Beverages,258,66,29,31,1
366,2023-01-08,8,Apparel,257,66,25,32,1
367,2023-01-08,8,Mining Consumables,187,66,19,11,0
368,2023-01-08,8,Chilled Food,133,66,6,19,0
369,2023-01-08,8,Auto Parts,239,66,22,9,1
370,2023-01-08,8,Ambient Grocery,298,66,22,25,0
371,2023-01-08,8,Industrial Consumables,151,66,17,15,0
372,2023-01-08,8,Frozen Food,234,66,20,40,0
373,2023-01-08,9,Pharmaceuticals,238,500,22,18,0
374,2023-01-08,9,Electronics,261,500,29,28,0
375,2023-01-08,9,Building Materials,183,500,22,15,0
376,2023-01-08,9,Homewares,84,500,11,12,0
377,2023-01-08,9,Beverages,89,500,11,8,0
378,2023-01-08,9,Apparel,185,500,25,9,1
379,2023-01-08,9,Mining Consumables,346,500,31,45,2
380,2023-01-08,9,Chilled Food,264,500,30,32,3
381,2023-01-08,9,Auto Parts,201,500,13,10,0
382,2023-01-08,9,Ambient Grocery,58,500,0,1,0
383,2023-01-08,9,Industrial Consumables,206,500,20,24,0
384,2023-01-08,9,Frozen Food,236,500,10,28,0
385,2023-01-08,10,Pharmaceuticals,158,500,11,14,1
386,2023-01-08,10,Electronics,285,500,23,33,1
387,2023-01-08,10,Building Materials,186,500,29,10,1
388,2023-01-08,10,Homewares,297,500,34,25,0
389,2023-01-08,10,Beverages,357,500,39,31,3
390,2023-01-08,10,Apparel,172,500,27,23,2
391,2023-01-08,10,Mining Consumables,292,500,25,29,1
392,2023-01-08,10,Chilled Food,189,500,17,14,0
393,2023-01-08,10,Auto Parts,286,500,33,28,2
394,2023-01-08,10,Ambient Grocery,141,500,20,18,0
395,2023-01-08,10,Industrial Consumables,231,500,30,23,2
396,2023-01-08,10,Frozen Food,84,500,3,13,0
397,2023-01-08,12,Pharmaceuticals,186,66,19,21,1
398,2023-01-08,12,Electronics,159,66,17,25,1
399,2023-01-08,12,Building Materials,212,66,17,12,1
400,2023-01-08,12,Homewares,87,66,14,1,1
401,2023-01-08,12,Beverages,223,66,24,27,0
402,2023-01-08,12,Apparel,236,66,22,33,0
403,2023-01-08,12,Mining Consumables,302,66,35,30,0
404,2023-01-08,12,Chilled Food,205,66,22,14,0
405,2023-01-08,12,Auto Parts,102,66,18,9,1
406,2023-01-08,12,Ambient Grocery,219,66,28,17,0
407,2023-01-08,12,Industrial Consumables,230,66,26,10,0
408,2023-01-08,12,Frozen Food,174,66,17,16,0
409,2023-01-08,13,Pharmaceuticals,210,250,25,28,0
410,2023-01-08,13,Electronics,256,250,23,28,1
411,2023-01-08,13,Building Materials,98,250,14,11,0
412,2023-01-08,13,Homewares,273,250,29,31,0
413,2023-01-08,13,Beverages,197,250,16,21,1
414,2023-01-08,13,Apparel,86,250,9,17,0
415,2023-01-08,13,Mining Consumables,272,250,31,38,1
416,2023-01-08,13,Chilled Food,306,250,23,34,2
417,2023-01-08,13,Auto Parts,257,250,29,31,0
418,2023-01-08,13,Ambient Grocery,209,250,20,23,0
419,2023-01-08,13,Industrial Consumables,211,250,22,16,2
420,2023-01-08,13,Frozen Food,241,250,29,32,2
421,2023-01-08,15,Pharmaceuticals,291,66,16,31,0
422,2023-01-08,15,Electronics,180,66,10,20,0
423,2023-01-08,15,Building Materials,139,66,10,15,0
424,2023-01-08,15,Homewares,203,66,9,15,4
425,2023-01-08,15,Beverages,232,66,13,29,1
426,2023-01-08,15,Apparel,200,66,15,31,0
427,2023-01-08,15,Mining Consumables,189,66,22,26,0
428,2023-01-08,15,Chilled Food,315,66,34,29,0
429,2023-01-08,15,Auto Parts,271,66,20,25,0
430,2023-01-08,15,Ambient Grocery,247,66,18,40,2
431,2023-01-08,15,Industrial Consumables,343,66,39,42,2
432,2023-01-08,15,Frozen Food,131,66,17,17,0
433,2023-01-08,17,Pharmaceuticals,112,250,9,14,1
434,2023-01-08,17,Electronics,219,250,26,27,1
435,2023-01-08,17,Building Materials,289,250,29,36,2
436,2023-01-08,17,Homewares,64,250,8,4,0
437,2023-01-08,17,Beverages,249,250,28,19,2
438,2023-01-08,17,Apparel,316,250,20,42,0
439,2023-01-08,17,Mining Consumables,178,250,21,25,0
440,2023-01-08,17,Chilled Food,115,250,7,12,1
441,2023-01-08,17,Auto Parts,108,250,4,25,0
442,2023-01-08,17,Ambient Grocery,253,250,21,40,0
443,2023-01-08,17,Industrial Consumables,298,250,37,37,1
444,2023-01-08,17,Frozen Food,208,250,22,25,0
445,2023-01-08,18,Pharmaceuticals,249,250,21,33,0
446,2023-01-08,18,Electronics,154,250,10,22,1
447,2023-01-08,18,Building Materials,325,250,29,40,0
448,2023-01-08,18,Homewares,150,250,16,23,0
449,2023-01-08,18,Beverages,171,250,19,18,0
450,2023-01-08,18,Apparel,219,250,20,21,1
451,2023-01-08,18,Mining Consumables,224,250,16,19,1
452,2023-01-08,18,Chilled Food,327,250,32,31,0
453,2023-01-08,18,Auto Parts,262,250,11,34,1
454,2023-01-08,18,Ambient Grocery,222,250,26,18,2
455,2023-01-08,18,Industrial Consumables,212,250,12,31,0
456,2023-01-08,18,Frozen Food,83,250,11,8,0
457,2023-01-08,20,Pharmaceuticals,311,250,36,32,1
458,2023-01-08,20,Electronics,186,250,11,19,0
459,2023-01-08,20,Building Materials,257,250,22,25,2
460,2023-01-08,20,Homewares,117,250,5,10,0
461,2023-01-08,20,Beverages,252,250,24,19,1
462,2023-01-08,20,Apparel,199,250,8,37,0
463,2023-01-08,20,Mining Consumables,287,250,31,31,1
464,2023-01-08,20,Chilled Food,320,250,41,32,1
465,2023-01-08,20,Auto Parts,316,250,44,29,1
466,2023-01-08,20,Ambient Grocery,323,250,30,28,0
467,2023-01-08,20,Industrial Consumables,155,250,17,9,1
468,2023-01-08,20,Frozen Food,306,250,25,28,1
469,2023-01-08,27,Pharmaceuticals,249,125,19,18,0
470,2023-01-08,27,Electronics,38,125,11,1,0
471,2023-01-08,27,Building Materials,268,125,28,28,0
472,2023-01-08,27,Homewares,188,125,13,16,0
473,2023-01-08,27,Beverages,131,125,8,10,0
474,2023-01-08,27,Apparel,234,125,29,17,1
475,2023-01-08,27,Mining Consumables,256,125,19,31,1
476,2023-01-08,27,Chilled Food,236,125,23,16,1
477,2023-01-08,27,Auto Parts,239,125,33,34,0
478,2023-01-08,27,Ambient Grocery,224,125,19,25,0
479,2023-01-08,27,Industrial Consumables,367,125,37,50,0
480,2023-01-08,27,Frozen Food,211,125,5,18,3
481,2023-01-08,28,Pharmaceuticals,260,125,23,17,0
482,2023-01-08,28,Electronics,120,125,9,9,0
483,2023-01-08,28,Building Materials,321,125,43,40,2
484,2023-01-08,28,Homewares,109,125,5,8,1
485,2023-01-08,28,Beverages,117,125,13,6,1
486,2023-01-08,28,Apparel,117,125,8,18,0
487,2023-01-08,28,Mining Consumables,260,125,25,25,0
488,2023-01-08,28,Chilled Food,127,125,5,3,3
489,2023-01-08,28,Auto Parts,286,125,23,31,1
490,2023-01-08,28,Ambient Grocery,292,125,21,35,1
491,2023-01-08,28,Industrial Consumables,178,125,10,14,0
492,2023-01-08,28,Frozen Food,110,125,12,6,1
493,2023-01-08,29,Pharmaceuticals,195,125,28,22,0
494,2023-01-08,29,Electronics,230,125,23,22,0
495,2023-01-08,29,Building Materials,189,125,15,7,1
496,2023-01-08,29,Homewares,311,125,29,36,1
